iso3,country,region,income_2022,city,city_code,population,population_un,msw_year,msw_tpy,msw_kg_cap_day,food_frac,green_frac,wood_frac,collection_population_frac,collection_waste_frac,treatment_open_dump_frac,treatment_controlled_landfill_frac,treatment_sanitary_landfill_gas_system_frac,treatment_unspecified_landfill_frac,treatment_anaerobic_digestion_frac,treatment_compost_frac,treatment_recycling_frac,treatment_incineration_frac,treatment_mbt_frac,treatment_rdf_frac,treatment_other_frac,treatment_uncollected_frac,treatment_unaccounted_frac,ofmsw_food_green_frac,ofmsw_food_green_tpy,landfill_dump_uncollected_frac,ofmsw_food_green_to_landfill_dump_uncollected_tpy,existing_biological_treatment_frac,ad_asset_capacity_tpy,compost_asset_capacity_tpy,ad_throughput_tpy,compost_throughput_tpy,has_ad_asset_data,has_compost_asset_data,best_four_pathway_screen,best_four_pathway_benefit_tco2e,mitigation_potential_score,best_pathway_readiness_score,opportunity_readiness_class,robust_winning_pathway,max_win_probability,city_unmanaged_ofmsw_mt,city_ofmsw_mt
AFG,Afghanistan,S. Asia,LIC,Kabul,kbul,5000000.0,4221532.0,2021.0,1168000.0,0.64,0.5217,,0.0416,,0.5781,0.4463,,,,,,,,,,,0.475,0.0787,0.5217,609345.6000000001,1.0,609345.6000000001,,,,,,False,False,Prevention,468696.72021104826,0.6824331593964805,0.494261266718303,Strategic build-out,Prevention,0.824,0.6093456,0.6093456
ALB,Albania,Eur. & Cent. Asia,UMIC,Tirana,trna,860000.0,493712.0,2018.0,208980.0,0.666,,,,,,,,0.85,,,0.0,0.1,,,,,,0.05,,,0.9,,0.0,,,,,False,False,Prevention,160430.54598957323,0.5502963545493029,0.7254308682796701,No-regret / complementary,Prevention,0.766,,
ALB,Albania,Eur. & Cent. Asia,UMIC,Vlora,vlra,250328.0,,2022.0,41923.0,0.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Prevention,160430.54598957323,0.5502963545493029,0.7254308682796701,No-regret / complementary,Prevention,0.766,,
DZA,Algeria,Mid. East & N. Africa,LMIC,Algiers,algr,3684211.0,2592330.0,2017.0,1300000.0,0.967,0.543999631626482,,,,0.85,,,0.8,,,,,,,,,0.15,0.05,0.543999631626482,707199.5211144267,1.0,707199.5211144267,,,,,,False,False,Prevention,3147226.495451864,0.9171427097360412,0.6106667975929209,Immediate priority,Prevention,0.82,0.7071995211144266,0.7071995211144266
DZA,Algeria,Mid. East & N. Africa,LMIC,Mostaganem,most,162418.0,,2010.0,48618.0,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,Prevention,3147226.495451864,0.9171427097360412,0.6106667975929209,Immediate priority,Prevention,0.82,,
ASM,American Samoa,E. Asia & Pacific,HIC,Pago Pago,pago,,,2010.0,33945.0,,0.196,,,,,,,,,,,,,,,,,,0.196,6653.22,,,,,,,,False,False,,,,,,Missing/insufficient data,0.0,,0.0066532200000000005
AGO,Angola,Sub-Saharan Africa,LMIC,Luanda,land,8000000.0,8329798.0,2021.0,2500000.0,0.856,0.3029,,,0.005,0.7,,0.4899999999999999,,,,,0.0349999999999999,,,,,0.3,0.175,0.3029,757250.0,0.965,730746.2499999999,,,,,,False,False,,,,,,Missing/insufficient data,0.0,0.7307462499999999,0.75725
ARG,Argentina,L. Amer. & the Caribbean,UMIC,Buenos Aires,buai,3121707.0,15153729.0,2022.0,,1.0,0.4164,0.0285,,,,,,,,,,,,,,,,,0.4449,,,,,,,,,False,False,AD-bio-CNG,3994268.58769639,0.946518227649086,0.685723349846134,Immediate priority,AD-bio-CNG,0.526,,
ARG,Argentina,L. Amer. & the Caribbean,UMIC,Córdoba,crda,1552976.0,1640599.0,2020.0,701402.0,1.24,0.33,,,,,,1.0,,,,,,,,,,,,0.33,231462.66,1.0,231462.66,,,,,,False,False,AD-bio-CNG,3994268.58769639,0.946518227649086,0.685723349846134,Immediate priority,AD-bio-CNG,0.526,0.23146266000000001,0.23146266000000001
ARG,Argentina,L. Amer. & the Caribbean,UMIC,Rosario,rsro,1030069.0,1532128.0,2022.0,286631.0,0.76,0.584,,,,,,,0.9388,,,0.0408,0.0204,,,,,,,0.584,167392.504,0.9388,157148.08275519998,0.0408,,,,12014.26992,False,True,AD-bio-CNG,3994268.58769639,0.946518227649086,0.685723349846134,Immediate priority,AD-bio-CNG,0.526,0.15714808275519998,0.167392504
