iso3,country,region,income_2022,city,city_code,population,population_un,msw_year,msw_tpy,msw_kg_cap_day,food_frac,green_frac,wood_frac,collection_population_frac,collection_waste_frac,treatment_open_dump_frac,treatment_controlled_landfill_frac,treatment_sanitary_landfill_gas_system_frac,treatment_unspecified_landfill_frac,treatment_anaerobic_digestion_frac,treatment_compost_frac,treatment_recycling_frac,treatment_incineration_frac,treatment_mbt_frac,treatment_rdf_frac,treatment_other_frac,treatment_uncollected_frac,treatment_unaccounted_frac,ofmsw_food_green_frac,ofmsw_food_green_tpy,landfill_dump_uncollected_frac,ofmsw_food_green_to_landfill_dump_uncollected_tpy,existing_biological_treatment_frac,ad_asset_capacity_tpy,compost_asset_capacity_tpy,ad_throughput_tpy,compost_throughput_tpy,has_ad_asset_data,has_compost_asset_data
AFG,Afghanistan,S. Asia,LIC,Kabul,kbul,5000000.0,4221532.0,2021.0,1168000.0,0.64,0.5217,,0.0416,,0.5781,0.4463,,,,,,,,,,,0.475,0.0787,0.5217,609345.6000000001,1.0,609345.6000000001,,,,,,False,False
ALB,Albania,Eur. & Cent. Asia,UMIC,Tirana,trna,860000.0,493712.0,2018.0,208980.0,0.666,,,,,,,,0.85,,,0.0,0.1,,,,,,0.05,,,0.9,,0.0,,,,,False,False
ALB,Albania,Eur. & Cent. Asia,UMIC,Vlora,vlra,250328.0,,2022.0,41923.0,0.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
DZA,Algeria,Mid. East & N. Africa,LMIC,Algiers,algr,3684211.0,2592330.0,2017.0,1300000.0,0.967,0.543999631626482,,,,0.85,,,0.8,,,,,,,,,0.15,0.05,0.543999631626482,707199.5211144267,1.0,707199.5211144267,,,,,,False,False
DZA,Algeria,Mid. East & N. Africa,LMIC,Mostaganem,most,162418.0,,2010.0,48618.0,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
ASM,American Samoa,E. Asia & Pacific,HIC,Pago Pago,pago,,,2010.0,33945.0,,0.196,,,,,,,,,,,,,,,,,,0.196,6653.22,,,,,,,,False,False
AGO,Angola,Sub-Saharan Africa,LMIC,Luanda,land,8000000.0,8329798.0,2021.0,2500000.0,0.856,0.3029,,,0.005,0.7,,0.48999999999999994,,,,,0.034999999999999996,,,,,0.3,0.175,0.3029,757250.0,0.9649999999999999,730746.2499999999,,,,,,False,False
ARG,Argentina,L. Amer. & the Caribbean,UMIC,Buenos Aires,buai,3121707.0,15153729.0,2022.0,,1.0,0.4164,0.0285,,,,,,,,,,,,,,,,,0.4449,,,,,,,,,False,False
ARG,Argentina,L. Amer. & the Caribbean,UMIC,Córdoba,crda,1552976.0,1640599.0,2020.0,701402.0,1.24,0.33,,,,,,1.0,,,,,,,,,,,,0.33,231462.66,1.0,231462.66,,,,,,False,False
ARG,Argentina,L. Amer. & the Caribbean,UMIC,Rosario,rsro,1030069.0,1532128.0,2022.0,286631.0,0.76,0.584,,,,,,,0.9388,,,0.0408,0.0204,,,,,,,0.584,167392.504,0.9388,157148.08275519998,0.0408,,,,12014.26992,False,True
ARM,Armenia,Eur. & Cent. Asia,UMIC,Vanadzor,vndz,77100.0,,2024.0,21125.4,0.751,0.4622,0.0967,0.0042,,,,,,,,,,,,,,,,0.5589,11806.98606,,,,,,,,False,False
ARM,Armenia,Eur. & Cent. Asia,UMIC,Yerevan,yrvn,1081800.0,1086275.0,2021.0,318000.0,0.805,0.4248,0.0205,,,,,,,1.0,,,,,,,,,,0.44530000000000003,141605.40000000002,1.0,141605.40000000002,,,,,,False,False
AUS,Australia,E. Asia & Pacific,HIC,Canberra,cnba,452670.0,457330.0,2021.0,290000.0,1.755,0.2629,0.1559,,0.01,,,,0.2965,,,,0.597,0.1065,,,,,,0.41880000000000006,121452.00000000001,0.2965,36010.518000000004,,,,,,False,False
AUS,Australia,E. Asia & Pacific,HIC,Melbourne,mbrn,158127.0,4967733.0,2022.0,41144.54,0.713,0.375,0.075,,,,,,0.74,,,0.0425,0.2175,,,,,,,0.45,18515.043,0.74,13701.13182,0.0425,,,,1754.074,False,True
AUS,Australia,E. Asia & Pacific,HIC,Perth,prth,2182170.0,2041959.0,2020.0,1108490.0,1.392,0.46,0.025,0.02,,,,,0.68,,,,0.32,,,,,,,0.48500000000000004,537617.65,0.68,365580.00200000004,,,,,,False,False
AUT,Austria,Eur. & Cent. Asia,HIC,Vienna,vien,1961780.0,2005497.0,2023.0,1112329.0,1.553,0.326516545701426,0.0257025288972519,0.0161824610740059,,,,,0.05386,,0.01836,0.08773,0.19114,0.64891,,,,,,0.3522190745986779,391783.4910292728,0.05386,21101.45882683663,0.10609,34000.0,154700.0,20422.36044,97584.62317,True,True
AZE,Azerbaijan,Eur. & Cent. Asia,UMIC,Baku,baku,3000000.0,2341443.0,2020.0,626000.0,0.572,,,,0.0079,,,,,,,,,0.8,,,,0.2,,,,0.2,,,,,,,False,False
BHR,Bahrain,Mid. East & N. Africa,HIC,Manama,mama,,743066.0,2023.0,182500.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,False,False
BGD,Bangladesh,S. Asia,LMIC,Dhaka,dhka,10278882.0,21005860.0,2019.0,2740420.0,0.73,0.8105,,,,0.89,0.745,,,,,,0.1,,,,,0.11,,0.8105,2221110.41,0.855,1899049.4005500001,,,,,,False,False
BLR,Belarus,Eur. & Cent. Asia,UMIC,Grodno,grod,,,,,,,,,,,,,,0.957,,,0.043,,,,,,,,,0.957,,,,,,,False,False
BLR,Belarus,Eur. & Cent. Asia,UMIC,Minsk,mink,1900000.0,2028104.0,2019.0,594700.0,0.858,0.4,,0.0625,,,,,,0.83,,,0.17,,,,,,,0.4,237880.0,0.83,197440.4,,,,,,False,False
BEL,Belgium,Eur. & Cent. Asia,HIC,Brussels,brus,1266667.0,2002441.0,2017.0,475000.0,1.027,,,,,1.0,,,0.002,,,,0.354,0.644,,,0.0,,,,,0.002,,,,,,,False,False
