iso3,region,country,income_generation_year,income_2022,gdp,population_generation_year,msw_year_reported,msw_tpy,msw_kg_cap_day,msw_2022_tpy,population_2022,msw_2030_tpy,population_2030,msw_2040_tpy,population_2040,msw_2050_tpy,population_2050,food_pct,green_pct,wood_pct,collection_total_population_pct,collection_total_weight_pct,treatment_open_dump_pct,treatment_controlled_landfill_pct,treatment_sanitary_landfill_pct,treatment_unspecified_landfill_pct,treatment_anaerobic_digestion_pct,treatment_composting_pct,treatment_recycling_pct,treatment_incineration_pct,treatment_mbt_pct,treatment_rdf_pct,treatment_other_pct,treatment_uncollected_pct,treatment_unaccounted_pct,food_frac,green_frac,wood_frac,collection_total_population_frac,collection_total_weight_frac,treatment_open_dump_frac,treatment_controlled_landfill_frac,treatment_sanitary_landfill_frac,treatment_unspecified_landfill_frac,treatment_anaerobic_digestion_frac,treatment_composting_frac,treatment_recycling_frac,treatment_incineration_frac,treatment_mbt_frac,treatment_rdf_frac,treatment_other_frac,treatment_uncollected_frac,treatment_unaccounted_frac,ofmsw_food_green_frac,ofmsw_food_green_wood_frac,ofmsw_food_green_tpy_tpy,ofmsw_food_green_wood_tpy_tpy,ofmsw_food_green_2022_tpy,ofmsw_food_green_wood_2022_tpy,ofmsw_food_green_2030_tpy,ofmsw_food_green_wood_2030_tpy,ofmsw_food_green_2040_tpy,ofmsw_food_green_wood_2040_tpy,ofmsw_food_green_2050_tpy,ofmsw_food_green_wood_2050_tpy,landfill_dump_uncollected_frac,known_diversion_or_treatment_frac,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,country_wdi,gdp_current_usd_2022,gdp_per_capita_current_usd_2022,population_wdi_2022,urban_population_pct_2022,country_ember,electricity_carbon_intensity_latest_year,electricity_carbon_intensity_latest_gco2_kwh,electricity_carbon_intensity_2022_gco2_kwh,ofmsw_food_green_2022_kg_per_cap_day,unmanaged_ofmsw_food_green_2022_kg_per_cap_day,doc_food_green_weighted,first_pass_ch4_open_dump_tpy,first_pass_ch4_controlled_landfill_tpy,first_pass_ch4_sanitary_landfill_tpy,first_pass_ch4_unspecified_landfill_tpy,first_pass_ch4_uncollected_tpy,first_pass_ch4_unaccounted_tpy,first_pass_ch4_total_tpy,first_pass_co2e_gwp100_tpy,first_pass_co2e_gwp20_tpy,first_pass_ch4_kg_per_cap_year,ad_screen_diverted_ofmsw_tpy,ad_screen_avoided_ch4_tpy,ad_screen_avoided_landfill_gwp100_tco2e,ad_screen_electricity_generated_mwh,ad_screen_avoided_grid_tco2e,ad_screen_process_tco2e,ad_screen_net_gwp100_benefit_tco2e,ad_screen_grid_credit_share,ad_screen_electricity_yield_kwh_per_tonne,ad_screen_process_emissions_kgco2e_per_tonne,ad_screen_electricity_yield_source,ad_screen_process_emissions_source
ASM,E. Asia & Pacific,American Samoa,UMIC,HIC,647000000.0,50563.0,2019.0,17348.165299999997,0.94,16894.23087107575,48782.0,15427.461033375095,43203.0,14414.316507723355,39512.0,13950.311780708013,37623.0,0.197,,,1.0,,,,,,,,,,,,,,,0.197,,,1.0,,,,,,,,,,,,,,,0.197,0.197,3417.5885640999995,3417.5885640999995,3328.1634816019227,3328.1634816019227,3039.2098235748945,3039.2098235748945,2839.6203520215013,2839.6203520215013,2748.2114207994787,2748.2114207994787,,,,American Samoa,871000000.0,18017.4589383973,48342.0,81.794797704649,American Samoa,2024.0,611.11,611.11,0.1886197532989506,,0.15,,,,,,,,,,,,,,,,,,,189.903436,74.289,ecoinvent_3.12_cutoff_derived_from_3.12_biogas_yield_and_3.12_net_calorific_value,ecoinvent_3.12_cutoff_AR6_GWP100_from_openLCA_unit-process_exchanges
AUS,E. Asia & Pacific,Australia,HIC,HIC,1556735770437.0,25831668.0,2021.0,13950303.7429296,1.4795796483061665,14201100.122972865,26081167.0,15860053.943387974,28072905.0,17827020.339437354,30251945.0,19743819.69876569,32401987.0,0.385933509908315,0.348252998077663,0.0157719988472288,0.98,,,,0.578489042245961,,,0.057346420551122,0.361636420252921,0.000353684048749,,,0.0021744329012471,,,0.385933509908315,0.348252998077663,0.0157719988472288,0.98,,,,0.578489042245961,,,0.057346420551122,0.361636420252921,0.000353684048749,,,0.0021744329012471,,,0.734186507985978,0.7499585068332068,10242124.7903652,10462148.964917175,10426256.10884469,10650235.843613598,11644237.621165255,11894382.373677358,13088357.810806517,13369525.555049645,14495646.038941544,14807045.540470373,0.578489042245961,0.4215109577540392,6031474.910616664,Australia,1695627535475.8,65169.5191118657,26018721.0,87.3343268253813,Australia,2025.0,525.18,577.86,1.0978666180290524,0.6351038083774386,0.1737169298461362,,,349256.4346387752,,,,349256.4346387752,9499775.022174684,28219919.918813035,13.423274519864952,2412589.9642466656,139702.57385551007,3799910.008869874,458159.1238695589,264751.8313192633,179228.89585392055,3885432.9443352167,0.06813959605331997,189.903436,74.289,ecoinvent_3.12_cutoff_derived_from_3.12_biogas_yield_and_3.12_net_calorific_value,ecoinvent_3.12_cutoff_AR6_GWP100_from_openLCA_unit-process_exchanges
BRN,E. Asia & Pacific,Brunei Darussalam,HIC,HIC,13469235348.0,440283.0,2019.0,297218.0,1.849482924416702,303148.04952575336,453711.0,329097.47300770803,480972.0,354665.1293281353,505064.0,367509.209369418,519157.00000000006,0.32,0.11,,,,,,,0.887,,,0.113,,,,,,,0.32,0.11,,,,,,,0.887,,,0.113,,,,,,,0.43,0.43,127803.74,127803.74,130353.66129607394,130353.66129607394,141511.91339331446,141511.91339331446,152506.00561109817,152506.00561109817,158028.96002884972,158028.96002884972,0.887,0.113,115623.6975696176,Brunei Darussalam,16681536466.7183,36632.9280952155,455370.0,74.7772642014221,Brunei Darussalam,2024.0,892.09,892.86,0.7842706340325025,0.6956480523868298,0.1627906976744186,,,,3764.4924790108057,,,3764.4924790108057,102394.19542909392,304170.99230407306,8.266887320224884,46249.47902784704,1505.7969916043223,40957.67817163757,8782.934980598093,7841.931326776814,3435.827547499729,45363.78195091466,0.17286767084944732,189.903436,74.289,ecoinvent_3.12_cutoff_derived_from_3.12_biogas_yield_and_3.12_net_calorific_value,ecoinvent_3.12_cutoff_AR6_GWP100_from_openLCA_unit-process_exchanges
KHM,E. Asia & Pacific,Cambodia,LMIC,LMIC,34818073901.0,16591105.0,2020.0,4780000.0,0.7893320192331315,5168116.837662729,17088769.0,5835819.4797286205,18734542.0,6565438.666119016,20462927.0,7228625.87044589,21873714.0,0.55,,,,0.54,,,,0.44,,0.02,0.04,0.04,,,,0.46,,0.55,,,,0.54,,,,0.44,,0.02,0.04,0.04,,,,0.46,,0.55,0.55,2629000.0,2629000.0,2842464.2607145016,2842464.2607145016,3209700.7138507417,3209700.7138507417,3610991.266365459,3610991.266365459,3975744.22874524,3975744.22874524,0.9,0.1,2558217.8346430515,Cambodia,39994532959.6074,2325.03050040841,17201724.0,40.374616187368,Cambodia,2025.0,498.87,300.0,0.45272051318961,0.4074484618706491,0.15,,,,37520.52824143142,26150.671198573415,,63671.199440004835,1731856.6247681314,5144632.91475239,3.701442915838251,1023287.1338572206,25468.479776001936,692742.6499072526,194325.74273407814,58297.72282022344,76018.97788711906,675021.394840357,0.08636425936397303,189.903436,74.289,ecoinvent_3.12_cutoff_derived_from_3.12_biogas_yield_and_3.12_net_calorific_value,ecoinvent_3.12_cutoff_AR6_GWP100_from_openLCA_unit-process_exchanges
CHN,E. Asia & Pacific,China,UMIC,UMIC,18316765021690.0,1426098192.0,2022.0,502607447.9726,0.9655763638849396,502607447.9726,1426098192.0,579314130.0822473,1400281205.0,621774238.6695986,1346163630.0,630002818.0232215,1265452312.0,0.593,,0.021,,,,,0.1846,,,,,0.748,,,0.0671,0.003,,0.593,,0.021,,,,,0.1846,,,,,0.748,,,0.0671,0.003,,0.593,0.614,298046216.64775175,308600973.0551764,298046216.64775175,308600973.0551764,343533279.1387726,355698875.8704998,368712123.531072,381769382.5431335,373591671.08777034,386821730.266258,0.1876,0.8151,55913470.24311823,China,18316765021690.2,12970.6056414327,1412175000.0,65.2176361083984,China,2025.0,526.49,586.75,0.5782321434079545,0.1084763501033322,0.15,,,2750966.5796587486,,17882.772998865104,,2768849.352657614,75312702.39228709,223723027.6947352,1.9606984634748623,22365388.09724729,1107539.7410630456,30125080.95691484,4247264.047140763,2492082.179659843,1661502.316356404,30955660.820218276,0.08050489356803434,189.903436,74.289,ecoinvent_3.12_cutoff_derived_from_3.12_biogas_yield_and_3.12_net_calorific_value,ecoinvent_3.12_cutoff_AR6_GWP100_from_openLCA_unit-process_exchanges
FJI,E. Asia & Pacific,Fiji,UMIC,UMIC,4305031649.74,916325.0,2021.0,177263.07125,0.53,182734.7870895,917097.0,228509.03239592724,951202.0,277102.0751222721,982600.0,325496.3809150835,999936.0,0.373,,,,,,,,0.847763745945326,,,0.0545,,,,,,0.0977362540546736,0.373,,,,,,,,0.847763745945326,,,0.0545,,,,,,0.0977362540546736,0.373,0.373,66119.12557625001,66119.12557625001,68160.0755843835,68160.0755843835,85233.86908368085,85233.86908368085,103359.07402060748,103359.07402060748,121410.15008132617,121410.15008132617,0.9454999999999996,0.0545,64445.351465034575,Fiji,4977861885.60316,5414.12092119088,919422.0,58.1352701465266,Fiji,2024.0,278.26,280.37,0.2031057915819939,0.1920365259407752,0.15,,,,1733.5092300400051,,199.8513139110318,1933.360543951037,52587.4067954682,156215.5319512438,2.102799959051488,25778.140586013833,773.3442175804148,21034.962718187282,4895.35747097508,1372.5113741372834,1915.0322859943817,20492.441806330185,0.06697646806118097,189.903436,74.289,ecoinvent_3.12_cutoff_derived_from_3.12_biogas_yield_and_3.12_net_calorific_value,ecoinvent_3.12_cutoff_AR6_GWP100_from_openLCA_unit-process_exchanges
PYF,E. Asia & Pacific,French Polynesia,HIC,HIC,5574821989.0,278819.0,2020.0,83366.881,0.8191780821917808,85784.54260068631,279985.0,90192.90251080612,285221.0,93975.31871033764,289157.0,94952.8909372807,285207.0,0.47,,,0.76,,0.61,,,,,,0.39,,,,,,,0.47,,,0.76,,0.61,,,,,,0.39,,,,,,,0.47,0.47,39182.43407,39182.43407,40318.735022322566,40318.735022322566,42390.66418007888,42390.66418007888,44168.39979385869,44168.39979385869,44627.85874052192,44627.85874052192,0.61,0.39,24594.428363616764,French Polynesia,5622688338.06317,20053.9569369322,280378.0,61.6913806937112,French Polynesia,2024.0,430.56,436.62,0.3939763024644964,0.2403255445033428,0.15,491.8885672723353,,,,,,491.8885672723353,13379.369029807518,39744.59623560469,1.7543764748744026,9837.771345446707,196.75542690893414,5351.747611923009,1868.2265810826725,815.7050898323165,730.8381954818904,5436.614506273435,0.15003916295537517,189.903436,74.289,ecoinvent_3.12_cutoff_derived_from_3.12_biogas_yield_and_3.12_net_calorific_value,ecoinvent_3.12_cutoff_AR6_GWP100_from_openLCA_unit-process_exchanges
GUM,E. Asia & Pacific,Guam,HIC,HIC,5265000000.0,166479.0,2012.0,141500.0,2.3286494565483475,145823.88199396516,164502.0,159138.56422515682,174107.0,171070.0181447662,183202.0,181370.87820691575,191099.0,0.273,,0.064,1.0,,,,,,,,0.382,,,,0.618,,,0.273,,0.064,1.0,,,,,,,,0.382,,,,0.618,,,0.273,0.337,38629.5,47685.5,39809.91978435249,49142.64823196626,43444.82803346781,53629.69614387785,46702.11495352117,57650.59611478621,49514.24975048801,61121.98595573062,,1.0,,Guam,6910000000.0,41833.1517132825,165180.0,94.1068261842046,Guam,2024.0,607.53,611.11,0.6602995119372057,,0.15,,,,,,,,,,,,,,,,,,,189.903436,74.289,ecoinvent_3.12_cutoff_derived_from_3.12_biogas_yield_and_3.12_net_calorific_value,ecoinvent_3.12_cutoff_AR6_GWP100_from_openLCA_unit-process_exchanges
HKG,E. Asia & Pacific,"Hong Kong SAR, China",HIC,HIC,358679533985.0,7479439.0,2022.0,5975150.0,2.188703453909142,5975150.0,7479439.0,6061340.651784919,7271722.0,5840948.0443747835,6847050.0,5232811.242188584,6130903.0,0.225513167033464,0.0019079018936763,0.0146197166598328,1.0,,,,0.68,,,,0.32,,,,,,,0.225513167033464,0.0019079018936763,0.0146197166598328,1.0,,,,0.68,,,,0.32,,,,,,,0.2274210689271403,0.2420407855869731,1358875.0000000023,1446230.0000000023,1358875.0000000023,1446230.0000000023,1378476.5701604558,1467091.6530682775,1328354.6477996032,1413747.653233167,1190051.526192485,1266553.7438876696,0.68,0.32,924035.0000000016,"Hong Kong SAR, China",358679533984.718,48825.8441873536,7346100.0,100.0,Hong Kong,2024.0,675.48,682.27,0.506792067284608,0.3446186057535334,0.1504194646306687,,,46330.95000000007,,,,46330.95000000007,1260201.840000002,3743540.760000006,6.306877118471035,369614.0000000007,18532.38000000003,504080.7360000008,70190.96859370414,47889.192142426524,27458.25444600005,524511.6736964273,0.09130243337566488,189.903436,74.289,ecoinvent_3.12_cutoff_derived_from_3.12_biogas_yield_and_3.12_net_calorific_value,ecoinvent_3.12_cutoff_AR6_GWP100_from_openLCA_unit-process_exchanges
IDN,E. Asia & Pacific,Indonesia,UMIC,UMIC,1371169301564.0,280026489.0,2023.0,55439035.8866128,0.5424050063791067,53546427.44749918,277634568.0,68020062.05407844,294942394.0,83503910.33568317,311157321.0,95755529.95203374,320462393.0,0.3971,,0.1205,,0.6253,0.120789019403838,0.314397989381675,0.0686533824157245,0.001770467895199,,0.0311164239115185,0.0885727169920445,,,,,0.3747,,0.3971,,0.1205,,0.6253,0.120789019403838,0.314397989381675,0.0686533824157245,0.001770467895199,,0.0311164239115185,0.0885727169920445,,,,,0.3747,,0.3971,0.5176000000000001,22014841.150573943,28695244.97491079,21263286.339401923,27715630.846825577,27010766.641674552,35207184.119191006,33159402.794299785,43221623.98974961,38024520.9439526,49563062.30317267,0.8803108590964366,0.119689140903563,18718301.864652433,Indonesia,1319101183380.15,4730.83484836107,278830529.0,57.4934704226599,Indonesia,2024.0,680.25,675.81,0.208928266287728,0.1839218215852789,0.15,51367.43012478765,267405.37891019206,72989.82642370054,1129.378974310037,159347.067827478,,552239.0822604683,15020903.037484735,44620917.84664583,1.980554583606834,7487320.745860973,220895.6329041873,6008361.214993895,1421867.9360730818,960912.5698775493,556225.5708892659,6413048.213982178,0.14983710363856306,189.903436,74.289,ecoinvent_3.12_cutoff_derived_from_3.12_biogas_yield_and_3.12_net_calorific_value,ecoinvent_3.12_cutoff_AR6_GWP100_from_openLCA_unit-process_exchanges
