iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_net_gwp100_benefit_tco2e,bio_cng_screen_net_gwp100_benefit_tco2e,compost_screen_net_gwp100_benefit_tco2e,prevention_screen_net_gwp100_benefit_tco2e,best_four_pathway_screen,best_four_pathway_benefit_tco2e
ASM,American Samoa,E. Asia & Pacific,HIC,3328.1634816019227,,611.11,,,,,,
AUS,Australia,E. Asia & Pacific,HIC,10426256.10884469,6031474.910616664,577.86,3885432.9443352167,3951573.106127394,3717821.635336381,1949887.0826570047,AD-bio-CNG,3951573.106127394
BRN,Brunei Darussalam,E. Asia & Pacific,HIC,130353.66129607394,115623.6975696176,892.86,45363.78195091466,43209.48151617328,39384.03964771507,41053.72900964024,AD-electricity,45363.78195091466
KHM,Cambodia,E. Asia & Pacific,LMIC,2842464.2607145016,2558217.8346430515,300.0,675021.394840357,769864.6170423254,657925.3051777607,1113836.675346542,Prevention,1113836.675346542
CHN,China,E. Asia & Pacific,UMIC,298046216.64775175,55913470.24311823,586.75,30955660.820218276,31522093.287177887,29364098.626906,31836581.55139289,Prevention,31836581.55139289
FJI,Fiji,E. Asia & Pacific,UMIC,68160.0755843835,64445.351465034575,280.37,20492.441806330185,23000.552081276055,20157.86148474816,29851.086798604003,Prevention,29851.086798604003
PYF,French Polynesia,E. Asia & Pacific,HIC,40318.735022322566,24594.428363616764,436.62,5436.614506273435,6032.708191762574,5017.017441894184,10054.202315046536,Prevention,10054.202315046536
GUM,Guam,E. Asia & Pacific,HIC,39809.91978435249,,611.11,,,,,,
HKG,"Hong Kong SAR, China",E. Asia & Pacific,HIC,1358875.0000000023,924035.0000000016,682.27,524511.6736964273,525579.237588818,491504.6196500008,524810.8276024661,AD-bio-CNG,525579.237588818
IDN,Indonesia,E. Asia & Pacific,UMIC,21263286.339401923,18718301.864652433,675.81,6413048.213982178,6446035.831023647,5753605.126615975,8619671.166892678,Prevention,8619671.166892678
JPN,Japan,E. Asia & Pacific,HIC,11417351.999999996,97335.11159574732,519.6,53345.56953266733,54945.76121908722,51071.438785346494,55398.61830580639,Prevention,55398.61830580639
KIR,Kiribati,E. Asia & Pacific,LMIC,9849.77293722219,9824.738110436265,500.0,2785.0690062354215,2964.681607808643,2570.152003352465,4299.35477764863,Prevention,4299.35477764863
KOR,"Korea, Rep.",E. Asia & Pacific,HIC,5585735.843616004,571299.3494711564,438.06,312820.6944596796,326589.9432321121,303011.4619660066,326783.22789750155,Prevention,326783.22789750155
LAO,Lao PDR,E. Asia & Pacific,LMIC,0.0,0.0,237.27,,,,,,
MAC,"Macao SAR, China",E. Asia & Pacific,HIC,168354.8048,,448.98,,,,,,
MYS,Malaysia,E. Asia & Pacific,UMIC,7380789.894609797,7357864.426734786,604.04,2759717.5699183205,2822303.0256566,2540614.2840095605,3174963.063704232,Prevention,3174963.063704232
MHL,Marshall Islands,E. Asia & Pacific,UMIC,1657.69448161507,930.0003039742292,,,,259.69300646934755,415.1752464954873,Prevention,415.1752464954873
FSM,"Micronesia, Fed. Sts.",E. Asia & Pacific,LMIC,4883.7,4883.7,,,,1184.907126456,2090.797141728,Prevention,2090.797141728
