iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_avoided_ch4_tpy,ad_screen_avoided_grid_tco2e,ad_screen_process_tco2e,bio_cng_screen_avoided_ch4_tpy,bio_cng_screen_avoided_diesel_tco2e,bio_cng_screen_upgrading_electricity_tco2e,bio_cng_screen_process_tco2e,compost_screen_avoided_ch4_tpy,compost_screen_process_tco2e,prevention_screen_avoided_ch4_tpy,prevention_screen_avoided_upstream_tco2e,ad_screen_avoided_landfill_gwp20_tco2e,bio_cng_screen_avoided_landfill_gwp20_tco2e,compost_screen_avoided_landfill_gwp20_tco2e,prevention_screen_avoided_landfill_gwp20_tco2e,ad_screen_net_gwp20_benefit_tco2e,bio_cng_screen_net_gwp20_benefit_tco2e,compost_screen_net_gwp20_benefit_tco2e,prevention_screen_net_gwp20_benefit_tco2e,best_four_pathway_screen_gwp20,best_four_pathway_benefit_gwp20_tco2e
ASM,American Samoa,E. Asia & Pacific,HIC,3328.1634816019227,,611.11,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,E. Asia & Pacific,HIC,10426256.10884469,6031474.910616664,577.86,139702.57385551007,264751.8313192633,179228.89585392055,139702.57385551007,393628.2587647215,62736.26565328102,179228.89585392055,139702.57385551007,82088.37353349279,36718.12549319711,951154.0692420434,11287967.967525214,11287967.967525214,11287967.967525214,2966824.5398503267,11373490.902990557,11439631.064782735,11205879.593991721,3917978.60909237,AD-bio-CNG,11439631.064782735
BRN,Brunei Darussalam,E. Asia & Pacific,HIC,130353.66129607394,115623.6975696176,892.86,1505.7969916043223,7841.931326776814,3435.827547499729,1505.7969916043223,7545.874835051595,1858.2439430161585,3435.827547499729,1505.7969916043223,1573.6385239224956,560.2965550155619,25813.662713216952,121668.39692162925,121668.39692162925,121668.39692162925,45271.961645257405,126074.50070090633,123920.20026616495,120094.75839770676,71085.62435847436,AD-electricity,126074.50070090633
KHM,Cambodia,E. Asia & Pacific,LMIC,2842464.2607145016,2558217.8346430515,300.0,25468.479776001936,58297.72282022344,76018.97788711906,25468.479776001936,166955.32132926435,13814.376307072482,76018.97788711906,25468.479776001936,34817.34472949193,12734.239888000968,767465.3503929155,2057853.1659009564,2057853.1659009564,2057853.1659009564,1028926.5829504782,2040131.9108340605,2134975.133036029,2023035.8211714644,1796391.9333433937,AD-bio-CNG,2134975.133036029
CHN,China,E. Asia & Pacific,UMIC,298046216.64775175,55913470.24311823,586.75,1107539.7410630456,2492082.179659843,1661502.316356404,1107539.7410630456,3649044.7625921513,590530.1159726931,1661502.316356404,1107539.7410630456,760982.330008839,553769.8705315228,16774041.07293547,89489211.07789408,89489211.07789408,89489211.07789408,44744605.53894704,90319790.94119751,90886223.40815713,88728228.74788524,61518646.61188251,AD-bio-CNG,90886223.40815713
FJI,Fiji,E. Asia & Pacific,UMIC,68160.0755843835,64445.351465034575,280.37,773.3442175804148,1372.5113741372834,1915.0322859943817,773.3442175804148,4205.855426507687,325.2337774245314,1915.0322859943817,773.3442175804148,877.1012334391206,386.6721087902073,19333.605439510367,62486.21278049752,62486.21278049752,62486.21278049752,31243.106390248748,61943.69186864042,64451.80214358629,61609.1115470584,50576.711829759115,AD-bio-CNG,64451.80214358629
PYF,French Polynesia,E. Asia & Pacific,HIC,40318.735022322566,24594.428363616764,436.62,196.75542690893417,815.7050898323165,730.8381954818904,196.75542690893417,1605.0903229396583,193.29154761820237,730.8381954818904,196.75542690893417,334.7301700288242,98.37771345446708,7378.32850908503,15897.83849424188,15897.83849424188,15897.83849424188,7948.91924712094,15982.705388592305,16578.799074081446,15563.108324213055,15327.24775620597,AD-bio-CNG,16578.799074081446
GUM,Guam,E. Asia & Pacific,HIC,39809.91978435249,,611.11,,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",E. Asia & Pacific,HIC,1358875.0000000023,924035.0000000016,682.27,18532.38000000003,47889.19214242653,27458.25444600005,18532.38000000003,60304.70050491721,11347.94447010002,27458.25444600005,18532.38000000003,12576.116350000024,9188.453220678884,274884.9000000005,1497416.3040000023,1497416.3040000023,1497416.3040000023,742427.0202308538,1517847.2416964287,1518914.8055888193,1484840.1876500023,1017311.9202308543,AD-bio-CNG,1518914.8055888193
IDN,Indonesia,E. Asia & Pacific,UMIC,21263286.339401923,18718301.864652433,675.81,220895.6329041873,960912.5698775492,556225.5708892659,220895.6329041873,1221600.4674157323,227700.2804967137,556225.5708892659,220895.6329041873,254756.0883779196,110447.81645209366,5615490.55939573,17848367.138658334,17848367.138658334,17848367.138658334,8924183.569329167,18253054.13764662,18286041.754688088,17593611.050280415,14539674.128724895,AD-bio-CNG,18286041.754688088
