iso3,country,region,income_2022,win_probability_AD-electricity,win_probability_AD-bio-CNG,win_probability_Composting,win_probability_Prevention,robust_winning_pathway,max_win_probability
ASM,American Samoa,E. Asia & Pacific,HIC,0.0,0.0,0.0,0.0,Missing/insufficient data,0.0
AUS,Australia,E. Asia & Pacific,HIC,0.399,0.601,0.0,0.0,AD-bio-CNG,0.601
BRN,Brunei Darussalam,E. Asia & Pacific,HIC,0.559,0.005,0.0,0.436,AD-electricity,0.559
KHM,Cambodia,E. Asia & Pacific,LMIC,0.0,0.152,0.0,0.848,Prevention,0.848
CHN,China,E. Asia & Pacific,UMIC,0.182,0.268,0.0,0.55,Prevention,0.55
FJI,Fiji,E. Asia & Pacific,UMIC,0.0,0.239,0.0,0.761,Prevention,0.761
PYF,French Polynesia,E. Asia & Pacific,HIC,0.0,0.079,0.0,0.921,Prevention,0.921
GUM,Guam,E. Asia & Pacific,HIC,0.0,0.0,0.0,0.0,Missing/insufficient data,0.0
HKG,"Hong Kong SAR, China",E. Asia & Pacific,HIC,0.349,0.124,0.0,0.527,Prevention,0.527
IDN,Indonesia,E. Asia & Pacific,UMIC,0.158,0.074,0.0,0.768,Prevention,0.768
JPN,Japan,E. Asia & Pacific,HIC,0.1,0.349,0.0,0.551,Prevention,0.551
KIR,Kiribati,E. Asia & Pacific,LMIC,0.016,0.133,0.0,0.851,Prevention,0.851
KOR,"Korea, Rep.",E. Asia & Pacific,HIC,0.009,0.446,0.0,0.545,Prevention,0.545
LAO,Lao PDR,E. Asia & Pacific,LMIC,0.0,0.0,0.0,0.0,Missing/insufficient data,0.0
MAC,"Macao SAR, China",E. Asia & Pacific,HIC,0.0,0.0,0.0,0.0,Missing/insufficient data,0.0
MYS,Malaysia,E. Asia & Pacific,UMIC,0.159,0.207,0.0,0.634,Prevention,0.634
MHL,Marshall Islands,E. Asia & Pacific,UMIC,0.0,0.0,0.081,0.919,Prevention,0.919
FSM,"Micronesia, Fed. Sts.",E. Asia & Pacific,LMIC,0.0,0.0,0.048,0.952,Prevention,0.952
MNG,Mongolia,E. Asia & Pacific,LMIC,0.211,0.011,0.0,0.778,Prevention,0.778
MMR,Myanmar,E. Asia & Pacific,LMIC,0.35,0.65,0.0,0.0,AD-bio-CNG,0.65
NRU,Nauru,E. Asia & Pacific,HIC,0.195,0.029,0.0,0.776,Prevention,0.776
NCL,New Caledonia,E. Asia & Pacific,HIC,0.0,0.0,0.0,0.0,Missing/insufficient data,0.0
NZL,New Zealand,E. Asia & Pacific,HIC,0.0,0.768,0.0,0.232,AD-bio-CNG,0.768
MNP,Northern Mariana Islands,E. Asia & Pacific,HIC,0.0,0.0,0.12,0.88,Prevention,0.88
PLW,Palau,E. Asia & Pacific,UMIC,0.0,0.0,0.136,0.864,Prevention,0.864
PNG,Papua New Guinea,E. Asia & Pacific,LMIC,0.02,0.072,0.0,0.908,Prevention,0.908
PHL,Philippines,E. Asia & Pacific,LMIC,0.067,0.089,0.0,0.844,Prevention,0.844
WSM,Samoa,E. Asia & Pacific,LMIC,0.0,0.377,0.0,0.623,Prevention,0.623
