iso3,country,region,income_2022,best_four_pathway_screen,ad_screen_avoided_ch4_tpy,ad_screen_avoided_grid_tco2e,ad_screen_process_tco2e,bio_cng_screen_avoided_ch4_tpy,bio_cng_screen_avoided_diesel_tco2e,bio_cng_screen_upgrading_electricity_tco2e,bio_cng_screen_process_tco2e,compost_screen_avoided_ch4_tpy,compost_screen_process_tco2e,prevention_screen_avoided_ch4_tpy,prevention_screen_avoided_upstream_tco2e,scenario,adjusted_first_pass_ch4_total_tpy,methane_adjustment_ratio,first_pass_ch4_total_tpy,ad_capture_sens_net_gwp100_benefit_tco2e,bio_cng_capture_sens_net_gwp100_benefit_tco2e,compost_capture_sens_net_gwp100_benefit_tco2e,prevention_capture_sens_net_gwp100_benefit_tco2e,best_pathway_landfill_capture_sensitivity
ASM,American Samoa,E. Asia & Pacific,HIC,,,,,,,,,,,,,low_capture,,,,,,,,
AUS,Australia,E. Asia & Pacific,HIC,AD-bio-CNG,139702.57385551007,264751.8313192633,179228.89585392055,139702.57385551007,393628.2587647215,62736.26565328102,179228.89585392055,139702.57385551007,82088.37353349279,36718.12549319711,951154.0692420434,low_capture,248845.2096801273,0.7124999999999999,349256.4346387752,2792958.8167851274,2859098.9785773046,2625347.5077862917,1662751.3413002035,AD-bio-CNG
BRN,Brunei Darussalam,E. Asia & Pacific,HIC,AD-electricity,1505.7969916043223,7841.931326776814,3435.827547499729,1505.7969916043223,7545.874835051595,1858.2439430161585,3435.827547499729,1505.7969916043223,1573.6385239224956,560.2965550155619,25813.662713216952,low_capture,3397.454462307252,0.9025,3764.4924790108057,41370.40832917999,39216.10789443861,35390.666025980405,39567.82254573896,AD-electricity
KHM,Cambodia,E. Asia & Pacific,LMIC,Prevention,25468.479776001936,58297.72282022344,76018.97788711906,25468.479776001936,166955.32132926435,13814.376307072482,76018.97788711906,25468.479776001936,34817.34472949193,12734.239888000968,767465.3503929155,low_capture,60012.947936465265,0.9425446428571428,63671.199440004835,635219.6184818465,730062.840683815,618123.5288192502,1093935.7871672865,Prevention
CHN,China,E. Asia & Pacific,UMIC,Prevention,1107539.7410630456,2492082.179659843,1661502.316356404,1107539.7410630456,3649044.7625921513,590530.1159726931,1661502.316356404,1107539.7410630456,760982.330008839,553769.8705315228,16774041.07293547,low_capture,1977946.4610057233,0.7143568353067814,2768849.352657614,22350637.359045707,22917069.82600532,20759075.16573343,27534069.820806604,Prevention
FJI,Fiji,E. Asia & Pacific,UMIC,Prevention,773.3442175804148,1372.5113741372834,1915.0322859943817,773.3442175804148,4205.855426507687,325.2337774245314,1915.0322859943817,773.3442175804148,877.1012334391206,386.6721087902073,19333.605439510367,low_capture,1764.3433940221362,0.9125785666529144,1933.360543951037,18653.535215103744,21161.645490049614,18318.95489352172,28931.633502990786,Prevention
PYF,French Polynesia,E. Asia & Pacific,HIC,Prevention,196.75542690893417,815.7050898323165,730.8381954818904,196.75542690893417,1605.0903229396583,193.29154761820237,730.8381954818904,196.75542690893417,334.7301700288242,98.37771345446708,7378.32850908503,low_capture,491.8885672723353,1.0,491.8885672723353,5436.614506273436,6032.708191762575,5017.017441894185,10054.202315046536,Prevention
GUM,Guam,E. Asia & Pacific,HIC,,,,,,,,,,,,,low_capture,,,,,,,,
HKG,"Hong Kong SAR, China",E. Asia & Pacific,HIC,AD-bio-CNG,18532.38000000003,47889.19214242653,27458.25444600005,18532.38000000003,60304.70050491721,11347.94447010002,27458.25444600005,18532.38000000003,12576.116350000024,9188.453220678884,274884.9000000005,low_capture,33010.80187500005,0.7125,46330.95000000007,379588.46209642704,380656.0259888177,346581.40805000055,452957.12341675727,Prevention
IDN,Indonesia,E. Asia & Pacific,UMIC,Prevention,220895.6329041873,960912.5698775492,556225.5708892659,220895.6329041873,1221600.4674157323,227700.2804967137,556225.5708892659,220895.6329041873,254756.0883779196,110447.81645209366,5615490.55939573,low_capture,492370.6127716813,0.8915895824617688,552239.0822604683,5761679.2659441745,5794666.882985644,5102236.178577972,8293986.692873675,Prevention
JPN,Japan,E. Asia & Pacific,HIC,Prevention,1926.3297666972285,3841.771120637303,2892.371242134589,1926.3297666972285,6352.3186387899,910.3558317327056,2892.371242134589,1926.3297666972285,1324.730868818121,963.1648833486124,29200.53347872414,low_capture,3441.036703179592,0.7145270270270269,4815.824416743071,38387.87920909668,39988.070895516576,36113.748461775845,47919.77314402109,Prevention
