iso3,region,country,income_generation_year,income_2022,gdp,population_generation_year,msw_year_reported,msw_tpy,msw_kg_cap_day,msw_2022_tpy,population_2022,msw_2030_tpy,population_2030,msw_2040_tpy,population_2040,msw_2050_tpy,population_2050,food_pct,green_pct,wood_pct,collection_total_population_pct,collection_total_weight_pct,treatment_open_dump_pct,treatment_controlled_landfill_pct,treatment_sanitary_landfill_pct,treatment_unspecified_landfill_pct,treatment_anaerobic_digestion_pct,treatment_composting_pct,treatment_recycling_pct,treatment_incineration_pct,treatment_mbt_pct,treatment_rdf_pct,treatment_other_pct,treatment_uncollected_pct,treatment_unaccounted_pct,food_frac,green_frac,wood_frac,collection_total_population_frac,collection_total_weight_frac,treatment_open_dump_frac,treatment_controlled_landfill_frac,treatment_sanitary_landfill_frac,treatment_unspecified_landfill_frac,treatment_anaerobic_digestion_frac,treatment_composting_frac,treatment_recycling_frac,treatment_incineration_frac,treatment_mbt_frac,treatment_rdf_frac,treatment_other_frac,treatment_uncollected_frac,treatment_unaccounted_frac,ofmsw_food_green_frac,ofmsw_food_green_wood_frac,ofmsw_food_green_tpy_tpy,ofmsw_food_green_wood_tpy_tpy,ofmsw_food_green_2022_tpy,ofmsw_food_green_wood_2022_tpy,ofmsw_food_green_2030_tpy,ofmsw_food_green_wood_2030_tpy,ofmsw_food_green_2040_tpy,ofmsw_food_green_wood_2040_tpy,ofmsw_food_green_2050_tpy,ofmsw_food_green_wood_2050_tpy,landfill_dump_uncollected_frac,known_diversion_or_treatment_frac,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy
ASM,E. Asia & Pacific,American Samoa,UMIC,HIC,647000000.0,50563.0,2019.0,17348.165299999997,0.94,16894.23087107575,48782.0,15427.461033375097,43203.0,14414.316507723357,39512.0,13950.311780708013,37623.0,0.197,,,1.0,,,,,,,,,,,,,,,0.197,,,1.0,,,,,,,,,,,,,,,0.197,0.197,3417.5885640999995,3417.5885640999995,3328.1634816019227,3328.1634816019227,3039.2098235748945,3039.2098235748945,2839.6203520215013,2839.6203520215013,2748.2114207994787,2748.2114207994787,,,
AUS,E. Asia & Pacific,Australia,HIC,HIC,1556735770437.0,25831668.0,2021.0,13950303.7429296,1.4795796483061663,14201100.122972865,26081167.0,15860053.943387974,28072905.0,17827020.339437354,30251945.0,19743819.69876569,32401987.0,0.385933509908315,0.348252998077663,0.0157719988472288,0.98,,,,0.578489042245961,,,0.057346420551122,0.361636420252921,0.000353684048749045,,,0.00217443290124717,,,0.385933509908315,0.348252998077663,0.0157719988472288,0.98,,,,0.578489042245961,,,0.057346420551122,0.361636420252921,0.000353684048749045,,,0.00217443290124717,,,0.734186507985978,0.7499585068332068,10242124.7903652,10462148.964917177,10426256.10884469,10650235.843613598,11644237.621165255,11894382.373677358,13088357.810806515,13369525.555049645,14495646.038941545,14807045.540470371,0.578489042245961,0.4215109577540392,6031474.910616664
BRN,E. Asia & Pacific,Brunei Darussalam,HIC,HIC,13469235348.0,440283.0,2019.0,297218.0,1.8494829244167021,303148.04952575336,453711.0,329097.47300770803,480972.0,354665.1293281353,505064.0,367509.209369418,519157.00000000006,0.32,0.11,,,,,,,0.887,,,0.113,,,,,,,0.32,0.11,,,,,,,0.887,,,0.113,,,,,,,0.43,0.43,127803.74,127803.74,130353.66129607394,130353.66129607394,141511.91339331446,141511.91339331446,152506.00561109817,152506.00561109817,158028.96002884972,158028.96002884972,0.887,0.113,115623.6975696176
KHM,E. Asia & Pacific,Cambodia,LMIC,LMIC,34818073901.0,16591105.0,2020.0,4780000.0,0.7893320192331315,5168116.837662729,17088769.0,5835819.4797286205,18734542.0,6565438.666119016,20462927.0,7228625.87044589,21873714.0,0.55,,,,0.54,,,,0.44,,0.02,0.04,0.04,,,,0.46,,0.55,,,,0.54,,,,0.44,,0.02,0.04,0.04,,,,0.46,,0.55,0.55,2629000.0,2629000.0,2842464.2607145016,2842464.2607145016,3209700.7138507417,3209700.7138507417,3610991.266365459,3610991.266365459,3975744.22874524,3975744.22874524,0.9,0.1,2558217.8346430515
CHN,E. Asia & Pacific,China,UMIC,UMIC,18316765021690.0,1426098192.0,2022.0,502607447.9726,0.9655763638849396,502607447.9726,1426098192.0,579314130.0822473,1400281205.0,621774238.6695986,1346163630.0,630002818.0232215,1265452312.0,0.593,,0.021,,,,,0.1846,,,,,0.748,,,0.0671,0.003,,0.593,,0.021,,,,,0.1846,,,,,0.748,,,0.0671,0.003,,0.593,0.614,298046216.64775175,308600973.0551764,298046216.64775175,308600973.0551764,343533279.1387726,355698875.8704998,368712123.53107196,381769382.5431335,373591671.08777034,386821730.266258,0.1876,0.8151,55913470.24311823
FJI,E. Asia & Pacific,Fiji,UMIC,UMIC,4305031649.74,916325.0,2021.0,177263.07125,0.53,182734.78708950002,917097.0,228509.03239592724,951202.0,277102.0751222721,982600.0,325496.3809150835,999936.0,0.373,,,,,,,,0.847763745945326,,,0.0545,,,,,,0.0977362540546736,0.373,,,,,,,,0.847763745945326,,,0.0545,,,,,,0.0977362540546736,0.373,0.373,66119.12557625001,66119.12557625001,68160.0755843835,68160.0755843835,85233.86908368085,85233.86908368085,103359.07402060748,103359.07402060748,121410.15008132615,121410.15008132615,0.9454999999999996,0.0545,64445.351465034575
PYF,E. Asia & Pacific,French Polynesia,HIC,HIC,5574821989.0,278819.0,2020.0,83366.881,0.8191780821917808,85784.54260068631,279985.0,90192.90251080613,285221.0,93975.31871033764,289157.0,94952.8909372807,285207.0,0.47,,,0.76,,0.61,,,,,,0.39,,,,,,,0.47,,,0.76,,0.61,,,,,,0.39,,,,,,,0.47,0.47,39182.434069999996,39182.434069999996,40318.735022322566,40318.735022322566,42390.66418007888,42390.66418007888,44168.39979385869,44168.39979385869,44627.85874052192,44627.85874052192,0.61,0.39,24594.428363616764
GUM,E. Asia & Pacific,Guam,HIC,HIC,5265000000.0,166479.0,2012.0,141500.0,2.3286494565483475,145823.88199396516,164502.0,159138.56422515682,174107.0,171070.0181447662,183202.0,181370.87820691578,191099.0,0.273,,0.064,1.0,,,,,,,,0.382,,,,0.618,,,0.273,,0.064,1.0,,,,,,,,0.382,,,,0.618,,,0.273,0.337,38629.5,47685.5,39809.91978435249,49142.64823196626,43444.82803346781,53629.69614387785,46702.11495352117,57650.59611478621,49514.24975048801,61121.98595573062,,1.0,
HKG,E. Asia & Pacific,"Hong Kong SAR, China",HIC,HIC,358679533985.0,7479439.0,2022.0,5975150.0,2.188703453909142,5975150.0,7479439.0,6061340.651784919,7271722.0,5840948.0443747835,6847050.0,5232811.242188584,6130903.0,0.225513167033464,0.00190790189367631,0.0146197166598328,1.0,,,,0.68,,,,0.32,,,,,,,0.225513167033464,0.00190790189367631,0.0146197166598328,1.0,,,,0.68,,,,0.32,,,,,,,0.2274210689271403,0.24204078558697312,1358875.0000000023,1446230.0000000023,1358875.0000000023,1446230.0000000023,1378476.5701604558,1467091.6530682775,1328354.6477996032,1413747.653233167,1190051.5261924847,1266553.7438876696,0.68,0.32,924035.0000000016
IDN,E. Asia & Pacific,Indonesia,UMIC,UMIC,1371169301564.0,280026489.0,2023.0,55439035.8866128,0.5424050063791067,53546427.44749918,277634568.0,68020062.05407844,294942394.0,83503910.33568317,311157321.0,95755529.95203374,320462393.0,0.3971,,0.1205,,0.6253,0.120789019403838,0.314397989381675,0.0686533824157245,0.00177046789519906,,0.0311164239115185,0.0885727169920445,,,,,0.3747,,0.3971,,0.1205,,0.6253,0.120789019403838,0.314397989381675,0.0686533824157245,0.00177046789519906,,0.0311164239115185,0.0885727169920445,,,,,0.3747,,0.3971,0.5176000000000001,22014841.150573943,28695244.97491079,21263286.339401923,27715630.846825577,27010766.641674552,35207184.119191006,33159402.794299785,43221623.98974961,38024520.9439526,49563062.30317267,0.8803108590964366,0.119689140903563,18718301.864652433
