iso3,country,region,income_2022,best_four_pathway_screen,best_four_pathway_benefit_tco2e,mitigation_potential_score,best_pathway_readiness_score,opportunity_readiness_class,readiness_general_score,readiness_prevention_score,readiness_composting_score,readiness_ad_electricity_score,readiness_bio_cng_score,readiness_collection_score,readiness_income_score,readiness_gdp_score,readiness_urban_score,readiness_existing_biological_score,readiness_existing_recovery_score,readiness_data_completeness_score
ASM,American Samoa,E. Asia & Pacific,HIC,,,,,,0.8232718397370598,0.8160906132456865,0.6122326590154967,0.4584857125246624,0.6232718397370597,1.0,1.0,0.667428562623312,0.8239306360619867,0.0,0.0,0.625
AUS,Australia,E. Asia & Pacific,HIC,AD-bio-CNG,3951573.106127394,0.9451936824048737,0.8604882467787214,Immediate priority,0.9398248786781647,0.9382749595593882,0.7598807817735068,0.7382764624621598,0.8604882467787214,0.98,1.0,0.9463333690524063,0.8977910243384173,0.28673210275560995,0.6033168405027833,0.875
BRN,Brunei Darussalam,E. Asia & Pacific,HIC,AD-electricity,45363.78195091466,0.39461215537711297,0.4399253853785555,Longer-term / local fit,0.8254329327166292,0.8584776442388765,0.493454507561876,0.4399253853785555,0.6225162660499626,,1.0,0.8213682081808888,0.730363522685628,0.0,0.18833333333333335,0.75
KHM,Cambodia,E. Asia & Pacific,LMIC,Prevention,1113836.675346542,0.7891204840453387,0.5489925848340752,Strategic build-out,0.4469777545022257,0.5489925848340752,0.4154153872912267,0.34931211133591106,0.38364442116889236,0.54,0.45,0.22322722334622186,0.27166154916490665,0.09999999999999999,0.13333333333333333,0.75
CHN,China,E. Asia & Pacific,UMIC,Prevention,31836581.55139289,1.0,0.6728360774799244,Immediate priority,0.6435082324397728,0.6728360774799244,0.40930060492621506,0.5552827787451116,0.7060082324397728,,0.75,0.5961311149804461,0.6029018147786452,0.0,1.0,0.625
FJI,Fiji,E. Asia & Pacific,UMIC,Prevention,29851.086798604003,0.3430324819031734,0.6491724312855406,No-regret / complementary,0.5725172938566218,0.6491724312855406,0.3778234228734516,0.2806080600348664,0.4077256271899551,,0.75,0.4065989068061322,0.5084702686203547,0.0,0.09083333333333334,0.625
PYF,French Polynesia,E. Asia & Pacific,HIC,Prevention,10054.202315046536,0.20890692697955204,0.8337696240865767,No-regret / complementary,0.7513088722597302,0.8337696240865767,0.5164712689790374,0.5701318570765004,0.6813088722597302,0.76,1.0,0.6906592853825018,0.5558850759161493,0.0,0.65,0.75
GUM,Guam,E. Asia & Pacific,HIC,,,,,,0.8926511505112844,0.839217050170428,0.6532727539473486,0.6223662806867388,0.8199844838446178,1.0,1.0,0.8501647367670271,0.9880910157893947,0.0,0.6366666666666667,0.625
HKG,"Hong Kong SAR, China",E. Asia & Pacific,HIC,AD-bio-CNG,525579.237588818,0.6965509574755353,0.8584060228785901,Immediate priority,0.9517393562119235,0.9422464520706412,0.71875,0.6584060228785901,0.8584060228785901,1.0,1.0,0.8836967810596171,1.0,0.0,0.5333333333333333,0.875
IDN,Indonesia,E. Asia & Pacific,UMIC,Prevention,8619671.166892678,1.0,0.7001696778348313,Immediate priority,0.6005090335044942,0.7001696778348313,0.5076987646315978,0.41116710861960104,0.4800332725018423,0.6253,0.75,0.3773322285536721,0.4999129389687986,0.1555821195575925,0.14762119498674084,0.75
JPN,Japan,E. Asia & Pacific,HIC,Prevention,55398.61830580639,0.41924272094993426,0.9343472022162654,No-regret / complementary,0.9280416066487962,0.9343472022162654,0.7182227642852189,0.7437590007818216,0.9280416066487962,0.9999,1.0,0.8056059900061069,0.9597020432378747,0.038289013903001004,1.0,0.875
KIR,Kiribati,E. Asia & Pacific,LMIC,Prevention,4299.35477764863,0.10420199228159488,0.6152655753798866,No-regret / complementary,0.5207967261396597,0.6152655753798866,0.48899637551980635,0.32344684751411984,0.43164394792996497,0.54,0.45,0.19799812861907315,0.5409855020792254,0.0,0.004236108951526,0.875
KOR,"Korea, Rep.",E. Asia & Pacific,HIC,Prevention,326783.22789750155,0.637981576646601,0.875040474025349,No-regret / complementary,0.8751214220760473,0.875040474025349,0.8913086668179133,0.9120214376422144,0.8751214220760473,0.999734745102489,1.0,0.8103724431085834,0.8154999221691639,1.0,1.0,0.75
LAO,Lao PDR,E. Asia & Pacific,LMIC,,,,,,0.4122890691624016,0.4957630230541339,0.3539774609351324,0.2741071004142957,0.3222890691624016,0.55,0.45,0.1955355020714785,0.24090984374052937,0.0,0.0,0.625
MAC,"Macao SAR, China",E. Asia & Pacific,HIC,,,,,,0.8894791926026251,0.8381597308675417,0.6576762289709239,0.6906201757793643,0.8894791926026251,1.0,1.0,0.822395963013126,1.0,0.0057049158836955,1.0,0.625
