iso3,country,best_four_pathway_screen,scenario,mitigation_potential_score,readiness_score,opportunity_readiness_class,central_opportunity_readiness_class
ASM,American Samoa,,Central equal weights,,,Missing/insufficient,Missing/insufficient
AUS,Australia,AD-bio-CNG,Central equal weights,0.9451936824048736,0.8604882467787214,Immediate priority,Immediate priority
BRN,Brunei Darussalam,AD-electricity,Central equal weights,0.3946121553771129,0.4399253853785555,Longer-term / local fit,Longer-term / local fit
KHM,Cambodia,Prevention,Central equal weights,0.7891204840453387,0.5489925848340752,Strategic build-out,Strategic build-out
CHN,China,Prevention,Central equal weights,1.0,0.6728360774799244,Immediate priority,Immediate priority
FJI,Fiji,Prevention,Central equal weights,0.3430324819031734,0.6491724312855406,No-regret / complementary,No-regret / complementary
PYF,French Polynesia,Prevention,Central equal weights,0.208906926979552,0.8337696240865767,No-regret / complementary,No-regret / complementary
GUM,Guam,,Central equal weights,,,Missing/insufficient,Missing/insufficient
HKG,"Hong Kong SAR, China",AD-bio-CNG,Central equal weights,0.6965509574755353,0.8584060228785901,Immediate priority,Immediate priority
IDN,Indonesia,Prevention,Central equal weights,1.0,0.7001696778348313,Immediate priority,Immediate priority
JPN,Japan,Prevention,Central equal weights,0.4192427209499342,0.9343472022162654,No-regret / complementary,No-regret / complementary
KIR,Kiribati,Prevention,Central equal weights,0.1042019922815948,0.6152655753798866,No-regret / complementary,No-regret / complementary
KOR,"Korea, Rep.",Prevention,Central equal weights,0.637981576646601,0.875040474025349,No-regret / complementary,No-regret / complementary
LAO,Lao PDR,,Central equal weights,,,Missing/insufficient,Missing/insufficient
MAC,"Macao SAR, China",,Central equal weights,,,Missing/insufficient,Missing/insufficient
MYS,Malaysia,Prevention,Central equal weights,0.9182241651254056,0.7350914047044855,Immediate priority,Immediate priority
MHL,Marshall Islands,Prevention,Central equal weights,0.0,0.6863273014088697,No-regret / complementary,No-regret / complementary
FSM,"Micronesia, Fed. Sts.",Prevention,Central equal weights,0.0153479024780708,0.4774581565943721,Longer-term / local fit,Longer-term / local fit
MNG,Mongolia,Prevention,Central equal weights,0.5771760550574917,0.6088652194326101,No-regret / complementary,No-regret / complementary
MMR,Myanmar,AD-bio-CNG,Central equal weights,0.8398357970490514,0.419567583359457,Strategic build-out,Strategic build-out
NRU,Nauru,Prevention,Central equal weights,0.0,0.9230098109739883,No-regret / complementary,No-regret / complementary
NCL,New Caledonia,,Central equal weights,,,Missing/insufficient,Missing/insufficient
NZL,New Zealand,AD-bio-CNG,Central equal weights,0.5737778870953206,0.7529279844610105,No-regret / complementary,No-regret / complementary
MNP,Northern Mariana Islands,Prevention,Central equal weights,0.0158560664590792,0.7655052361568967,No-regret / complementary,No-regret / complementary
PLW,Palau,Prevention,Central equal weights,0.0401310503180615,0.8044433509773317,No-regret / complementary,No-regret / complementary
PNG,Papua New Guinea,Prevention,Central equal weights,0.6178051524036267,0.5072728899498168,Longer-term / local fit,Longer-term / local fit
PHL,Philippines,Prevention,Central equal weights,0.9467666060743666,0.5685726497081879,Strategic build-out,Strategic build-out
WSM,Samoa,Prevention,Central equal weights,0.0906264633694502,0.6691330308109454,No-regret / complementary,No-regret / complementary
SGP,Singapore,AD-bio-CNG,Central equal weights,0.1486560822700873,0.975,No-regret / complementary,No-regret / complementary
SLB,Solomon Islands,Prevention,Central equal weights,0.442599888067506,0.5081041736655534,Longer-term / local fit,Longer-term / local fit
TWN,"Taiwan, China",AD-bio-CNG,Central equal weights,0.3330537932584356,0.75,No-regret / complementary,No-regret / complementary
THA,Thailand,Prevention,Central equal weights,0.9711303440645884,0.7641480423590766,Immediate priority,Immediate priority
TLS,Timor-Leste,Prevention,Central equal weights,0.4176073680851568,0.47619974278069693,Longer-term / local fit,Longer-term / local fit
TON,Tonga,Prevention,Central equal weights,0.0,0.7251461684838003,No-regret / complementary,No-regret / complementary
TUV,Tuvalu,Prevention,Central equal weights,0.0,0.6982053306161081,No-regret / complementary,No-regret / complementary
VUT,Vanuatu,Prevention,Central equal weights,0.1454864317852141,0.5602545559593524,Longer-term / local fit,Longer-term / local fit
VNM,Viet Nam,Prevention,Central equal weights,0.943892840906651,0.5688510624662174,Strategic build-out,Strategic build-out
ALB,Albania,Prevention,Central equal weights,0.5502963545493029,0.7254308682796701,No-regret / complementary,No-regret / complementary
AND,Andorra,Prevention,Central equal weights,0.0,0.8346592060377572,No-regret / complementary,No-regret / complementary
ARM,Armenia,Prevention,Central equal weights,0.4991917823053633,0.784609422990891,No-regret / complementary,No-regret / complementary
AUT,Austria,,Central equal weights,,,Missing/insufficient,Missing/insufficient
