iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_net_gwp100_benefit_tco2e,ad_screen_avoided_grid_tco2e,ad_screen_grid_credit_share,compost_screen_net_gwp100_benefit_tco2e,ad_minus_compost_tco2e,best_screening_pathway
ASM,American Samoa,E. Asia & Pacific,HIC,3328.1634816019227,,611.11,,,,,,
AUS,Australia,E. Asia & Pacific,HIC,10426256.10884469,6031474.910616664,577.86,4166899.067111667,509211.23663413344,0.1222038807354887,3657687.830477533,509211.23663413385,AD
BRN,Brunei Darussalam,E. Asia & Pacific,HIC,130353.66129607394,115623.6975696176,892.86,53314.07375152559,15082.802368579602,0.2829047061545922,38231.27138294599,15082.8023685796,AD
KHM,Cambodia,E. Asia & Pacific,LMIC,2842464.2607145016,2558217.8346430515,300.0,744546.9751216803,112127.1017553108,0.1505977534016386,632419.8733663695,112127.10175531078,AD
CHN,China,E. Asia & Pacific,UMIC,298046216.64775175,55913470.24311823,586.75,33599795.13671648,4793153.808134369,0.1426542569271979,28806641.32858211,4793153.808134366,AD
FJI,Fiji,E. Asia & Pacific,UMIC,68160.0755843835,64445.351465034575,280.37,22155.16523907797,2639.823908436202,0.1191516235581939,19515.341330641768,2639.823908436203,AD
PYF,French Polynesia,E. Asia & Pacific,HIC,40318.735022322566,24594.428363616764,436.62,6340.699846201988,1568.888855093063,0.2474314970188678,4771.810991108925,1568.8888550930633,AD
GUM,Guam,E. Asia & Pacific,HIC,39809.91978435249,,611.11,,,,,,
HKG,"Hong Kong SAR, China",E. Asia & Pacific,HIC,1358875.0000000023,924035.0000000016,682.27,574399.8134513681,92107.82275136744,0.1603548967015216,482291.9907000007,92107.8227513674,AD
IDN,Indonesia,E. Asia & Pacific,UMIC,21263286.339401923,18718301.864652433,675.81,7415157.758660124,1848174.1016347336,0.2492427217042362,5566983.65702539,1848174.1016347334,AD
