iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_net_gwp100_benefit_tco2e,compost_screen_net_gwp100_benefit_tco2e,prevention_screen_net_gwp100_benefit_tco2e,best_three_pathway_screen,best_three_pathway_benefit_tco2e
ASM,American Samoa,E. Asia & Pacific,HIC,3328.1634816019227,,611.11,,,,,
AUS,Australia,E. Asia & Pacific,HIC,10426256.10884469,6031474.910616664,577.86,4166899.067111667,3657687.830477533,1949887.0826570047,AD,4166899.067111667
BRN,Brunei Darussalam,E. Asia & Pacific,HIC,130353.66129607394,115623.6975696176,892.86,53314.07375152559,38231.27138294599,41053.72900964024,AD,53314.07375152559
KHM,Cambodia,E. Asia & Pacific,LMIC,2842464.2607145016,2558217.8346430515,300.0,744546.9751216803,632419.8733663695,1113836.675346542,Prevention,1113836.675346542
CHN,China,E. Asia & Pacific,UMIC,298046216.64775175,55913470.24311823,586.75,33599795.13671648,28806641.32858211,31836581.55139289,AD,33599795.13671648
FJI,Fiji,E. Asia & Pacific,UMIC,68160.0755843835,64445.351465034575,280.37,22155.16523907797,19515.341330641768,29851.086798604003,Prevention,29851.086798604003
PYF,French Polynesia,E. Asia & Pacific,HIC,40318.735022322566,24594.428363616764,436.62,6340.699846201988,4771.810991108925,10054.202315046536,Prevention,10054.202315046536
GUM,Guam,E. Asia & Pacific,HIC,39809.91978435249,,611.11,,,,,
HKG,"Hong Kong SAR, China",E. Asia & Pacific,HIC,1358875.0000000023,924035.0000000016,682.27,574399.8134513681,482291.9907000007,524810.8276024661,AD,574399.8134513681
IDN,Indonesia,E. Asia & Pacific,UMIC,21263286.339401923,18718301.864652433,675.81,7415157.758660124,5566983.65702539,8619671.166892678,Prevention,8619671.166892678
JPN,Japan,E. Asia & Pacific,HIC,11417351.999999996,97335.11159574732,519.6,57490.08984336616,50101.0077227369,55398.61830580639,AD,57490.08984336616
KIR,Kiribati,E. Asia & Pacific,LMIC,9849.77293722219,9824.738110436265,500.0,3189.899133680137,2472.199364391415,4299.35477764863,Prevention,4299.35477764863
KOR,"Korea, Rep.",E. Asia & Pacific,HIC,5585735.843616004,571299.3494711564,438.06,333879.22419547074,297315.6074517791,326783.22789750155,AD,333879.22419547074
LAO,Lao PDR,E. Asia & Pacific,LMIC,0.0,0.0,237.27,,,,,
MAC,"Macao SAR, China",E. Asia & Pacific,HIC,168354.8048,,448.98,,,,,
MYS,Malaysia,E. Asia & Pacific,UMIC,7380789.894609797,7357864.426734786,604.04,3116592.104519937,2467256.375675014,3174963.063704232,Prevention,3174963.063704232
MHL,Marshall Islands,E. Asia & Pacific,UMIC,1657.69448161507,930.0003039742292,,,250.4209034387245,415.1752464954873,Prevention,415.1752464954873
FSM,"Micronesia, Fed. Sts.",E. Asia & Pacific,LMIC,4883.7,4883.7,,,1136.216637456,2090.797141728,Prevention,2090.797141728
MNG,Mongolia,E. Asia & Pacific,LMIC,485545.5847412329,442659.0012546843,814.19,175676.8098139225,123020.92880728154,199527.1144048388,Prevention,199527.1144048388
MMR,Myanmar,E. Asia & Pacific,LMIC,4690239.621902682,4174313.263493387,563.87,1820275.6643655696,1476388.5945542215,513452.31563722255,AD,1820275.6643655696
NRU,Nauru,E. Asia & Pacific,HIC,75.25735075162699,75.25735075162699,750.0,29.88946564870283,21.643110987958895,34.286044884829224,Prevention,34.286044884829224
NCL,New Caledonia,E. Asia & Pacific,HIC,0.0,,566.34,,,,,
