iso3,country_ember,electricity_carbon_intensity_latest_year,electricity_carbon_intensity_latest_gco2_kwh,electricity_carbon_intensity_2022_gco2_kwh
ESH,Western Sahara,2009,666.67,
PAK,Pakistan,2019,468.99,
UKR,Ukraine,2022,250.47,250.47
GLP,Guadeloupe,2023,497.01,493.9
SHN,"Saint Helena, Ascension and Tristan da Cunha",2023,1000.0,1000.0
REU,Reunion,2023,394.14,483.66
VIR,Virgin Islands (U.S.),2023,632.35,632.35
VGB,Virgin Islands (British),2023,647.06,647.06
MTQ,Martinique,2023,529.8,516.78
NIU,Niue,2023,,
VUT,Vanuatu,2023,500.0,500.0
FRO,Faroe Islands (the),2023,346.94,354.17
CAF,Central African Republic (the),2023,0.0,0.0
GUF,French Guiana,2023,244.9,210.53
FLK,Falkland Islands (the) [Malvinas],2023,1000.0,1000.0
DMA,Dominica,2023,600.0,600.0
SPM,Saint Pierre and Miquelon,2023,600.0,600.0
STP,Sao Tome and Principe,2023,555.56,555.56
COM,Comoros (the),2023,642.86,642.86
TGO,Togo,2024,422.54,477.78
ABW,Aruba,2024,550.0,550.0
LBN,Lebanon,2024,389.51,379.86
SOM,Somalia,2024,511.63,523.81
MMR,Myanmar,2024,502.99,563.87
SSD,South Sudan,2024,642.86,647.06
TON,Tonga,2024,571.43,625.0
LSO,Lesotho,2024,,20.83
ZMB,Zambia,2024,119.68,111.97
COD,Congo (the Democratic Republic of the),2024,27.64,26.78
MSR,Montserrat,2024,1000.0,1000.0
MOZ,Mozambique,2024,129.36,127.81
VEN,Venezuela (Bolivarian Republic of),2024,85.86,180.43
LAO,Lao People's Democratic Republic (the),2024,232.08,237.27
DJI,Djibouti,2024,450.0,450.0
AFG,Afghanistan,2024,131.31,125.0
CMR,Cameroon,2024,225.9,280.98
LBR,Liberia,2024,315.79,435.9
SDN,Sudan (the),2024,153.69,204.41
CUB,Cuba,2024,642.82,640.26
NCL,New Caledonia,2024,560.9,566.34
AGO,Angola,2024,185.38,172.16
NRU,Nauru,2024,600.0,750.0
DZA,Algeria,2024,632.94,633.65
SUR,Suriname,2024,321.84,374.41
MWI,Malawi,2024,54.65,54.65
MDV,Maldives,2024,611.77,611.77
MLI,Mali,2024,538.59,391.71
ASM,American Samoa,2024,611.11,611.11
CIV,Cote d'Ivoire,2024,405.01,413.16
YEM,Yemen,2024,592.38,584.16
TZA,"Tanzania, the United Republic of",2024,345.02,349.27
TCD,Chad,2024,621.62,615.39
NPL,Nepal,2024,24.26,23.36
MRT,Mauritania,2024,512.08,481.71
SYR,Syrian Arab Republic (the),2024,706.19,682.27
PSE,"Palestine, State of",2024,414.14,460.78
MDG,Madagascar,2024,432.1,477.27
LBY,Libya,2024,826.83,830.53
NAM,Namibia,2024,48.78,45.46
TLS,Timor-Leste,2024,666.67,666.67
NER,Niger (the),2024,673.68,683.54
COK,Cook Islands (the),2024,250.0,250.0
ALB,Albania,2024,25.18,24.39
MAC,Macao,2024,474.36,448.98
NIC,Nicaragua,2024,300.89,289.35
CYM,Cayman Islands (the),2024,633.8,642.86
COG,Congo (the),2024,716.12,707.07
MUS,Mauritius,2024,642.23,615.39
ATG,Antigua and Barbuda,2024,594.6,611.11
PRK,Korea (the Democratic People's Republic of),2024,340.59,344.26
ZWE,Zimbabwe,2024,384.02,297.54
SAU,Saudi Arabia,2024,691.95,700.05
IRQ,Iraq,2024,683.1,688.71
BEN,Benin,2024,584.16,595.96
SLE,Sierra Leone,2024,47.62,50.0
GMB,Gambia (the),2024,666.67,666.67
GUY,Guyana,2024,644.93,648.44
TKM,Turkmenistan,2024,1306.27,1306.14
BMU,Bermuda,2024,639.34,650.79
BRB,Barbados,2024,594.6,605.51
RWA,Rwanda,2024,353.98,288.46
GNB,Guinea-Bissau,2024,625.0,625.0
ISL,Iceland,2024,27.82,27.68
GIN,Guinea,2024,181.14,185.0
HTI,Haiti,2024,534.88,534.65
GAB,Gabon,2024,523.08,429.47
HND,Honduras,2024,322.12,296.56
BRN,Brunei Darussalam,2024,892.09,892.86
BLZ,Belize,2024,170.21,170.21
PYF,French Polynesia,2024,430.56,436.62
ARE,United Arab Emirates,2024,467.51,558.49
SEN,Senegal,2024,539.97,550.28
HKG,Hong Kong,2024,675.48,682.27
IDN,Indonesia,2024,680.25,675.81
SYC,Seychelles,2024,555.56,564.52
FJI,Fiji,2024,278.26,280.37
BWA,Botswana,2024,851.31,847.66
TCA,Turks and Caicos Islands (the),2024,629.63,653.85
JOR,Jordan,2024,529.79,539.21
BFA,Burkina Faso,2024,562.13,568.05
LCA,Saint Lucia,2024,650.0,650.0
GRD,Grenada,2024,666.67,666.67
PNG,Papua New Guinea,2024,513.74,529.41
UGA,Uganda,2024,58.52,57.39
ERI,Eritrea,2024,577.78,590.91
GRL,Greenland,2024,150.0,111.11
PAN,Panama,2024,221.15,168.98
CPV,Cabo Verde,2024,461.54,480.0
SLB,Solomon Islands,2024,636.36,636.36
GNQ,Equatorial Guinea,2024,644.3,602.65
KIR,Kiribati,2024,500.0,500.0
