iso3,country_wdi,gdp_current_usd_2022,gdp_per_capita_current_usd_2022,population_wdi_2022,urban_population_pct_2022
ABW,Aruba,3324034443.26581,30975.9989121779,107310.0,61.8811657924257
AFE,Africa Eastern and Southern,1228967879390.01,1679.32762166466,731821393.0,37.3605781096471
AFG,Afghanistan,14497243872.1337,357.261152798144,40578842.0,25.3939250580909
AFW,Africa Western and Central,1063649130876.99,2138.47315259913,497387180.0,51.6816941134779
AGO,Angola,131212208930.344,3682.1131513698,35635029.0,69.0506188977513
ALB,Albania,19017247013.8821,7756.96188744253,2451636.0,57.8643477747383
AND,Andorra,3380611694.73392,42414.0479861228,79705.0,88.7548766267286
ARB,Arab World,3747416641077.45,7950.35581975672,471352066.0,59.3339325148117
ARE,United Arab Emirates,511403403675.97,50759.7589231191,10074977.0,85.5147347682487
ARG,Argentina,633993756301.08,13962.1894087223,45407904.0,92.112838186126
ARM,Armenia,19513506553.1251,6571.97445545099,2969200.0,65.5624462874485
ASM,American Samoa,871000000.0,18017.4589383973,48342.0,81.794797704649
ATG,Antigua and Barbuda,1866566666.66667,20105.1989085164,92840.0,24.5114484000414
AUS,Australia,1695627535475.8,65169.5191118657,26018721.0,87.3343268253813
AUT,Austria,473221298968.216,52336.7725223758,9041851.0,68.998085127906
AZE,Azerbaijan,78807470588.2353,7770.594223351,10141756.0,58.4382815854684
BDI,Burundi,4036192552.88879,302.992505263552,13321097.0,22.3202446002597
BEL,Belgium,591085783326.267,50605.7496677086,11680210.0,87.489200269855
BEN,Benin,17425405090.862,1266.42711031904,13759501.0,50.9627000010887
BFA,Burkina Faso,18622421394.6133,827.330843486661,22509038.0,27.2791369742712
BGD,Bangladesh,460131689083.083,2716.48592780431,169384897.0,31.673734726234
BGR,Bulgaria,90506153293.6733,13999.1949530956,6465097.0,73.4799164005224
BHR,Bahrain,46458191489.3617,30470.5219276023,1524693.0,100.0
BHS,"Bahamas, The",13896800000.0,34957.1613279737,397538.0,81.3200717047725
