iso3,country_wdi,indicator,value
AFE,Africa Eastern and Southern,NY.GDP.PCAP.CD,1679.32762166466
AFW,Africa Western and Central,NY.GDP.PCAP.CD,2138.47315259913
ARB,Arab World,NY.GDP.PCAP.CD,7950.35581975672
CSS,Caribbean small states,NY.GDP.PCAP.CD,17456.3084845676
CEB,Central Europe and the Baltics,NY.GDP.PCAP.CD,19530.1553232172
EAR,Early-demographic dividend,NY.GDP.PCAP.CD,4043.82776331568
EAS,East Asia & Pacific,NY.GDP.PCAP.CD,13139.2109813612
EAP,East Asia & Pacific (excluding high income),NY.GDP.PCAP.CD,10106.9935977814
TEA,East Asia & Pacific (IDA & IBRD countries),NY.GDP.PCAP.CD,10220.4774431567
EMU,Euro area,NY.GDP.PCAP.CD,41608.7123275598
ECS,Europe & Central Asia,NY.GDP.PCAP.CD,27913.5882331645
ECA,Europe & Central Asia (excluding high income),NY.GDP.PCAP.CD,7266.02243154199
TEC,Europe & Central Asia (IDA & IBRD countries),NY.GDP.PCAP.CD,11421.1364427001
EUU,European Union,NY.GDP.PCAP.CD,38066.8844892624
FCS,Fragile and conflict affected situations,NY.GDP.PCAP.CD,1850.91743054769
HPC,Heavily indebted poor countries (HIPC),NY.GDP.PCAP.CD,1121.48387311982
,High income,NY.GDP.PCAP.CD,46553.1150181383
IBD,IBRD only,NY.GDP.PCAP.CD,7699.23258826186
IBT,IDA & IBRD total,NY.GDP.PCAP.CD,6036.81374407089
IDB,IDA blend,NY.GDP.PCAP.CD,2234.83616206483
IDX,IDA only,NY.GDP.PCAP.CD,1332.31730178708
IDA,IDA total,NY.GDP.PCAP.CD,1647.52732460307
LTE,Late-demographic dividend,NY.GDP.PCAP.CD,12286.0846812169
LCN,Latin America & Caribbean,NY.GDP.PCAP.CD,9408.84820249156
LAC,Latin America & Caribbean (excluding high income),NY.GDP.PCAP.CD,9111.34927084769
TLA,Latin America & the Caribbean (IDA & IBRD countries),NY.GDP.PCAP.CD,9174.55690452428
LDC,Least developed countries: UN classification,NY.GDP.PCAP.CD,1299.36172423082
LMY,Low & middle income,NY.GDP.PCAP.CD,5741.78381882953
,Low income,NY.GDP.PCAP.CD,734.204117595357
,Lower middle income,NY.GDP.PCAP.CD,2493.61487371356
MEA,"Middle East, North Africa, Afghanistan & Pakistan",NY.GDP.PCAP.CD,6430.53553485753
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",NY.GDP.PCAP.CD,3015.7557973385
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",NY.GDP.PCAP.CD,3010.19656726913
MIC,Middle income,NY.GDP.PCAP.CD,6248.00962014697
NAC,North America,NY.GDP.PCAP.CD,74535.6365392629
,Not classified,NY.GDP.PCAP.CD,
OED,OECD members,NY.GDP.PCAP.CD,43950.173710934
OSS,Other small states,NY.GDP.PCAP.CD,14320.7706776288
PSS,Pacific island small states,NY.GDP.PCAP.CD,3896.81060847355
PST,Post-demographic dividend,NY.GDP.PCAP.CD,50969.801641014
PRE,Pre-demographic dividend,NY.GDP.PCAP.CD,1770.15579032782
SST,Small states,NY.GDP.PCAP.CD,13636.4661190787
SAS,South Asia,NY.GDP.PCAP.CD,2385.08341896271
TSA,South Asia (IDA & IBRD),NY.GDP.PCAP.CD,2385.08341896271
SSF,Sub-Saharan Africa,NY.GDP.PCAP.CD,1865.11635260699
SSA,Sub-Saharan Africa (excluding high income),NY.GDP.PCAP.CD,1963.80330032374
TSS,Sub-Saharan Africa (IDA & IBRD countries),NY.GDP.PCAP.CD,1865.11635260699
,Upper middle income,NY.GDP.PCAP.CD,10324.5193124329
WLD,World,NY.GDP.PCAP.CD,12798.1658465319
AFG,Afghanistan,NY.GDP.PCAP.CD,357.261152798144
ALB,Albania,NY.GDP.PCAP.CD,7756.96188744253
DZA,Algeria,NY.GDP.PCAP.CD,4960.30334332888
ASM,American Samoa,NY.GDP.PCAP.CD,18017.4589383973
AND,Andorra,NY.GDP.PCAP.CD,42414.0479861228
AGO,Angola,NY.GDP.PCAP.CD,3682.1131513698
ATG,Antigua and Barbuda,NY.GDP.PCAP.CD,20105.1989085164
ARG,Argentina,NY.GDP.PCAP.CD,13962.1894087223
ARM,Armenia,NY.GDP.PCAP.CD,6571.97445545099
ABW,Aruba,NY.GDP.PCAP.CD,30975.9989121779
AUS,Australia,NY.GDP.PCAP.CD,65169.5191118657
AUT,Austria,NY.GDP.PCAP.CD,52336.7725223758
AZE,Azerbaijan,NY.GDP.PCAP.CD,7770.594223351
BHS,"Bahamas, The",NY.GDP.PCAP.CD,34957.1613279737
BHR,Bahrain,NY.GDP.PCAP.CD,30470.5219276023
BGD,Bangladesh,NY.GDP.PCAP.CD,2716.48592780431
BRB,Barbados,NY.GDP.PCAP.CD,24387.0387293761
BLR,Belarus,NY.GDP.PCAP.CD,7994.64806074889
BEL,Belgium,NY.GDP.PCAP.CD,50605.7496677086
BLZ,Belize,NY.GDP.PCAP.CD,7068.21728043145
BEN,Benin,NY.GDP.PCAP.CD,1266.42711031904
BMU,Bermuda,NY.GDP.PCAP.CD,121613.939983629
