iso3,country,region,cities,city_ofmsw_food_green_tpy,city_unmanaged_ofmsw_food_green_tpy,cities_with_ad_asset_data,cities_with_compost_asset_data
AFG,Afghanistan,S. Asia,1,609345.6000000001,609345.6000000001,0,0
AGO,Angola,Sub-Saharan Africa,1,757250.0,730746.2499999999,0,0
ALB,Albania,Eur. & Cent. Asia,2,0.0,0.0,0,0
ARE,United Arab Emirates,Mid. East & N. Africa,2,2210602.252,1798222.1654592,0,1
ARG,Argentina,L. Amer. & the Caribbean,3,398855.164,388610.7427552,0,1
ARM,Armenia,Eur. & Cent. Asia,2,153412.38606000002,141605.40000000002,0,0
ASM,American Samoa,E. Asia & Pacific,1,6653.22,0.0,0,0
AUS,Australia,E. Asia & Pacific,3,677584.693,415291.65182,0,1
AUT,Austria,Eur. & Cent. Asia,1,391783.4910292728,21101.45882683663,1,1
AZE,Azerbaijan,Eur. & Cent. Asia,1,0.0,0.0,0,0
BDI,Burundi,Sub-Saharan Africa,1,173740.0,173740.0,0,0
BEL,Belgium,Eur. & Cent. Asia,2,0.0,0.0,0,0
BEN,Benin,Sub-Saharan Africa,2,0.0,0.0,0,0
BFA,Burkina Faso,Sub-Saharan Africa,1,249673.68750000003,249673.68750000003,0,0
BGD,Bangladesh,S. Asia,1,2221110.41,1899049.4005500001,0,0
BGR,Bulgaria,Eur. & Cent. Asia,2,99408.82591500001,38562.5711079,0,0
BHR,Bahrain,Mid. East & N. Africa,1,0.0,0.0,0,0
BIH,Bosnia and Herzegovina,Eur. & Cent. Asia,2,48891.9162,48522.078876,0,0
BLR,Belarus,Eur. & Cent. Asia,2,237880.0,197440.4,0,0
BLZ,Belize,L. Amer. & the Caribbean,2,13014.5379,9453.3789,0,0
BOL,Bolivia,L. Amer. & the Caribbean,1,153769.5201,153769.5201,0,0
BRA,Brazil,L. Amer. & the Caribbean,3,3645437.1521,3609529.6038934337,0,0
BTN,Bhutan,S. Asia,1,13133.867999999999,9922.637274,0,1
BWA,Botswana,Sub-Saharan Africa,1,18779.25,0.0,0,0
CAN,Canada,N. Amer.,3,1228871.9044,511047.33983772004,0,2
CHE,Switzerland,Eur. & Cent. Asia,2,0.0,0.0,0,0
CHL,Chile,L. Amer. & the Caribbean,2,110608.32240394737,110608.32240394737,0,0
CHN,China,E. Asia & Pacific,2,9325083.2,329484.76944,1,0
CIV,Côte d’Ivoire,Sub-Saharan Africa,1,823914.135,823914.135,0,0
CMR,Cameroon,Sub-Saharan Africa,1,216849.512418,0.0,0,0
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,1,1850550.0,1850550.0,0,0
COG,"Congo, Rep.",Sub-Saharan Africa,1,119194.24,119194.24,0,0
