country,region,best_four_pathway_screen,best_four_pathway_benefit_tco2e,first_pass_co2e_gwp100_tpy,best_pathway_benefit_mtco2e,first_pass_methane_mtco2e
China,E. Asia & Pacific,Prevention,31836581.55139289,75312702.39228709,31.83658155139289,75.3127023922871
United States,N. Amer.,AD-bio-CNG,28961833.058450043,69205151.12664895,28.961833058450043,69.20515112664894
India,S. Asia,Prevention,21670975.425812382,37411850.12925183,21.670975425812383,37.41185012925183
Brazil,L. Amer. & the Caribbean,Prevention,19417021.35656409,42402354.166119576,19.41702135656409,42.40235416611957
Mexico,L. Amer. & the Caribbean,AD-bio-CNG,9400086.068717005,22171296.12264173,9.400086068717005,22.17129612264173
Indonesia,E. Asia & Pacific,Prevention,8619671.166892678,15020903.037484735,8.619671166892678,15.020903037484736
Russian Federation,Eur. & Cent. Asia,AD-bio-CNG,7638472.118028007,17940957.888,7.638472118028007,17.940957888
Türkiye,Eur. & Cent. Asia,Prevention,6830247.618499081,12032560.571449151,6.83024761849908,12.032560571449151
"Iran, Islamic Rep.",Mid. East & N. Africa,Prevention,5668140.058539819,8869173.58902824,5.668140058539819,8.86917358902824
Iraq,Mid. East & N. Africa,Prevention,5422690.600476332,8802538.543166935,5.422690600476332,8.802538543166936
"Egypt, Arab Rep.",Mid. East & N. Africa,Prevention,5140421.583702003,7473287.854605,5.140421583702003,7.473287854604999
Thailand,E. Asia & Pacific,Prevention,4877103.086213104,7903966.92658784,4.877103086213104,7.90396692658784
Saudi Arabia,Mid. East & N. Africa,Prevention,4693274.707371081,10967539.947089974,4.693274707371081,10.967539947089973
Philippines,E. Asia & Pacific,Prevention,4002326.0483580623,6327189.2332763,4.0023260483580625,6.3271892332763
Colombia,L. Amer. & the Caribbean,Prevention,3994321.9501948184,8909447.326904098,3.9943219501948186,8.909447326904097
Argentina,L. Amer. & the Caribbean,AD-bio-CNG,3994268.58769639,9448393.178906664,3.99426858769639,9.448393178906665
Australia,E. Asia & Pacific,AD-bio-CNG,3951573.106127394,9499775.022174684,3.9515731061273938,9.499775022174685
Viet Nam,E. Asia & Pacific,Prevention,3910085.923262824,6990317.875509674,3.910085923262824,6.990317875509674
Malaysia,E. Asia & Pacific,Prevention,3174963.063704232,6601887.0471435515,3.174963063704232,6.601887047143552
Algeria,Mid. East & N. Africa,Prevention,3147226.495451864,5166539.56266064,3.147226495451864,5.16653956266064
