iso3,country,region,income_2022,msw_2022_tpy,food_frac,green_frac,landfill_dump_uncollected_frac,electricity_carbon_intensity_2022_gco2_kwh,has_msw_generation,has_food_green_composition,has_disposal_treatment_shares,has_collection_coverage,has_wdi_development_covariates,has_electricity_carbon_intensity
ASM,American Samoa,E. Asia & Pacific,HIC,16894.23087107575,0.197,,,611.11,True,True,False,True,True,True
GUM,Guam,E. Asia & Pacific,HIC,145823.88199396516,0.273,,,611.11,True,True,False,True,True,True
LAO,Lao PDR,E. Asia & Pacific,LMIC,455560.94062532345,,,1.0,237.27,True,False,True,True,True,True
MAC,"Macao SAR, China",E. Asia & Pacific,HIC,443038.96,0.38,,,448.98,True,True,False,True,True,True
NCL,New Caledonia,E. Asia & Pacific,HIC,111072.4302725195,,,,566.34,True,False,False,True,True,True
AUT,Austria,Eur. & Cent. Asia,HIC,7261356.999999999,,,0.0167511571523033,140.84,True,False,True,False,True,True
BLR,Belarus,Eur. & Cent. Asia,UMIC,3994300.0,,,0.6609,439.22,True,False,True,True,True,True
BIH,Bosnia and Herzegovina,Eur. & Cent. Asia,UMIC,1184448.9999999998,,,1.0,683.18,True,False,True,True,True,True
CHI,Channel Islands,Eur. & Cent. Asia,HIC,60949.15999999999,,,0.401371457419335,,True,False,True,False,True,False
FRO,Faroe Islands,Eur. & Cent. Asia,HIC,64156.59871353472,,,0.0678518943331302,354.17,True,False,True,False,True,True
GIB,Gibraltar,Eur. & Cent. Asia,HIC,16877.53212905299,0.2753,,,571.43,True,True,False,False,True,True
GRL,Greenland,Eur. & Cent. Asia,HIC,41958.231,,,0.126835781041389,111.11,True,False,True,False,True,True
ISL,Iceland,Eur. & Cent. Asia,HIC,227000.0000000001,,,0.612334801762114,27.68,True,False,True,True,True,True
IMN,Isle of Man,Eur. & Cent. Asia,HIC,49452.56838740958,,,0.0231682125642999,,True,False,True,False,True,False
LIE,Liechtenstein,Eur. & Cent. Asia,HIC,32423.999999999996,0.3239,,,,True,True,False,True,True,False
LUX,Luxembourg,Eur. & Cent. Asia,HIC,465501.393,0.315933821444853,,,140.5,True,True,False,True,True,True
MCO,Monaco,Eur. & Cent. Asia,HIC,45612.95781895706,,,,,True,False,False,True,True,False
SMR,San Marino,Eur. & Cent. Asia,HIC,17584.811013077677,,,,,True,False,False,False,True,False
CHE,Switzerland,Eur. & Cent. Asia,HIC,5940000.0,0.403352160978299,0.0071754140985403,,37.27,True,True,False,False,True,True
TJK,Tajikistan,Eur. & Cent. Asia,LMIC,1692923.0457810825,,,1.0,86.55,True,False,True,True,True,True
ABW,Aruba,L. Amer. & the Caribbean,HIC,70121.64718426853,,,0.849432237133166,550.0,True,False,True,True,True,True
