country,region,income_2022,gdp_per_capita_current_usd_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,unmanaged_ofmsw_food_green_2022_kg_per_cap_day
Barbados,L. Amer. & the Caribbean,HIC,24387.0387293761,130012.8656508359,124552.3252935008,1.208705245076312
Libya,Mid. East & N. Africa,UMIC,5986.63694851258,2890891.722595346,2890891.722595346,1.096409896831624
Kuwait,Mid. East & N. Africa,HIC,39981.7691035833,1662001.376662524,1662001.376662524,0.9921095015913862
Palau,E. Asia & Pacific,UMIC,13729.7602761496,6283.763119860084,5768.494544031557,0.8899203018853734
Bahrain,Mid. East & N. Africa,HIC,30470.5219276023,645094.53934854,456221.332493,0.8197856610379477
Qatar,Mid. East & N. Africa,HIC,88701.4689763536,757087.7446213181,754715.9618651386,0.7781166169291084
Iraq,Mid. East & N. Africa,UMIC,6520.73154560584,12461687.004741486,12453870.715142358,0.7742175435954056
Maldives,S. Asia,UMIC,11786.0191492983,141650.4740499853,141650.4740499853,0.7404675591348027
Cuba,L. Amer. & the Caribbean,UMIC,,3178327.33587099,2918259.5950309555,0.7229079467123423
Saudi Arabia,Mid. East & N. Africa,HIC,38510.2276211037,8677370.581836307,8332555.726510289,0.7095185972491854
Brunei Darussalam,E. Asia & Pacific,HIC,36632.9280952155,130353.66129607394,115623.6975696176,0.6956480523868298
Lebanon,Mid. East & N. Africa,LMIC,3654.35845534878,1457668.7706118536,1457668.7706118536,0.6952077147626989
Chile,L. Amer. & the Caribbean,HIC,15405.6165774073,5003035.722279791,4871690.718998549,0.6826099977655642
Curaçao,L. Amer. & the Caribbean,HIC,20057.1404747175,60694.29721937584,37878.140556145896,0.6768526656562679
Jamaica,L. Amer. & the Caribbean,UMIC,6626.47502388538,696947.8571522365,696947.8571522365,0.67254291574458
Puerto Rico,L. Amer. & the Caribbean,HIC,35353.6821570014,905459.6580748332,778695.3059443566,0.6625220594986567
Australia,E. Asia & Pacific,HIC,65169.5191118657,10426256.10884469,6031474.910616664,0.6351038083774386
Dominican Republic,L. Amer. & the Caribbean,UMIC,10104.2449349081,2652063.601394931,2492939.785311235,0.6081501008350236
North Macedonia,Eur. & Cent. Asia,UMIC,7606.2375253797,395506.4947055508,394319.97522143414,0.5897917899958104
Malaysia,E. Asia & Pacific,UMIC,11754.5678336248,7380789.894609797,7357864.426734786,0.5810130058098818
