country,region,income_2022,gdp_per_capita_current_usd_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,unmanaged_ofmsw_food_green_2022_kg_per_cap_day
China,E. Asia & Pacific,UMIC,12970.6056414327,298046216.64775175,55913470.24311823,0.1084763501033322
India,S. Asia,LMIC,2347.44829434623,94401898.86867614,47295351.33320674,0.0909037427843459
United States,N. Amer.,HIC,76657.2488844403,92559872.90698656,45446897.5973304,0.3727712318603504
Brazil,L. Amer. & the Caribbean,UMIC,9281.33282136864,37060612.217999995,36455168.41113391,0.4749126351145019
Pakistan,S. Asia,LMIC,1538.3228133171,27625600.0,,
Nigeria,Sub-Saharan Africa,LMIC,2899.16047470324,22768015.511437755,,
Mexico,L. Amer. & the Caribbean,UMIC,11405.7940473759,21421730.874147315,19551613.768834252,0.4164899068583637
Indonesia,E. Asia & Pacific,UMIC,4730.83484836107,21263286.339401923,18718301.864652433,0.1839218215852789
Russian Federation,Eur. & Cent. Asia,UMIC,15619.6142578125,18346960.000000004,16686239.999999998,0.3169488221674628
Germany,Eur. & Cent. Asia,HIC,50506.5179638543,17636664.102796208,245569.7611447904,0.0080886217355836
Thailand,E. Asia & Pacific,UMIC,6909.35281815827,17370307.23023531,11241714.788725393,0.4293451919520387
Türkiye,Eur. & Cent. Asia,UMIC,10897.8397861365,16819598.6378,14745785.01403083,0.475399533503226
"Egypt, Arab Rep.",Mid. East & N. Africa,LMIC,4233.30783744856,15096331.315863367,12152546.70927001,0.2956416790222541
"Iran, Islamic Rep.",Mid. East & N. Africa,LMIC,4721.20437099984,14734412.942618882,12981017.802447235,0.3972603392322553
Spain,Eur. & Cent. Asia,HIC,30319.4987196616,13999408.33484953,6920858.883168927,0.396794390430955
Iraq,Mid. East & N. Africa,UMIC,6520.73154560584,12461687.004741486,12453870.715142358,0.7742175435954056
United Kingdom,Eur. & Cent. Asia,HIC,47057.043229179,11979505.89497371,1103312.4929270786,0.044712945287629
Viet Nam,E. Asia & Pacific,LMIC,4147.69777213621,11589491.802357044,8373407.827202965,0.2301433850148747
Japan,E. Asia & Pacific,HIC,34065.6438962526,11417351.999999996,97335.11159574732,0.0021312412552418
Australia,E. Asia & Pacific,HIC,65169.5191118657,10426256.10884469,6031474.910616664,0.6351038083774386
