country,region,income_2022,gdp_per_capita_current_usd_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,unmanaged_ofmsw_food_green_2022_kg_per_cap_day
China,E. Asia & Pacific,UMIC,12970.6056414327,298046216.64775175,55913470.24311823,0.1084763501033322
India,S. Asia,LMIC,2347.44829434623,94401898.86867614,47295351.33320674,0.0909037427843459
United States,N. Amer.,HIC,76657.2488844403,92559872.90698656,45446897.5973304,0.3727712318603504
Brazil,L. Amer. & the Caribbean,UMIC,9281.33282136864,37060612.217999995,36455168.41113391,0.4749126351145019
Mexico,L. Amer. & the Caribbean,UMIC,11405.7940473759,21421730.874147315,19551613.768834252,0.4164899068583637
Indonesia,E. Asia & Pacific,UMIC,4730.83484836107,21263286.339401923,18718301.864652433,0.1839218215852789
Russian Federation,Eur. & Cent. Asia,UMIC,15619.6142578125,18346960.000000004,16686239.999999998,0.3169488221674628
Türkiye,Eur. & Cent. Asia,UMIC,10897.8397861365,16819598.6378,14745785.01403083,0.475399533503226
"Iran, Islamic Rep.",Mid. East & N. Africa,LMIC,4721.20437099984,14734412.942618882,12981017.802447235,0.3972603392322553
Iraq,Mid. East & N. Africa,UMIC,6520.73154560584,12461687.004741486,12453870.715142358,0.7742175435954056
"Egypt, Arab Rep.",Mid. East & N. Africa,LMIC,4233.30783744856,15096331.315863367,12152546.70927001,0.2956416790222541
Thailand,E. Asia & Pacific,UMIC,6909.35281815827,17370307.23023531,11241714.788725393,0.4293451919520387
Philippines,E. Asia & Pacific,LMIC,3548.06930572116,9122960.672342671,9122960.672342671,0.2193178431040315
Viet Nam,E. Asia & Pacific,LMIC,4147.69777213621,11589491.802357044,8373407.827202965,0.2301433850148747
Saudi Arabia,Mid. East & N. Africa,HIC,38510.2276211037,8677370.581836307,8332555.726510289,0.7095185972491854
Argentina,L. Amer. & the Caribbean,UMIC,13962.1894087223,7546484.5,7546484.5,0.4553238132286397
Colombia,L. Amer. & the Caribbean,UMIC,6680.44506854481,8876117.097379997,7374774.949379996,0.3905231115293968
Malaysia,E. Asia & Pacific,UMIC,11754.5678336248,7380789.894609797,7357864.426734786,0.5810130058098818
Algeria,Mid. East & N. Africa,LMIC,4960.30334332888,7659125.300433826,7046395.276399119,0.4245008995146968
Spain,Eur. & Cent. Asia,HIC,30319.4987196616,13999408.33484953,6920858.883168927,0.396794390430955
