country,region,income_2022,ad_screen_diverted_ofmsw_tpy,ad_screen_avoided_ch4_tpy,ad_screen_avoided_landfill_gwp100_tco2e,ad_screen_avoided_grid_tco2e,ad_screen_net_gwp100_benefit_tco2e,ad_screen_grid_credit_share,electricity_carbon_intensity_2022_gco2_kwh
China,E. Asia & Pacific,UMIC,22365388.09724729,1107539.7410630456,30125080.95691484,2492082.179659843,30955660.820218276,0.08050489356803434,586.75
United States,N. Amer.,HIC,18178759.03893216,1017722.8106860141,27682060.450659584,1416751.9709542491,27748330.591370605,0.051057196622662476,410.39
Brazil,L. Amer. & the Caribbean,UMIC,14582067.364453563,623564.0318546997,16960941.666447833,286306.00577043154,16163960.469780372,0.017712614820216875,103.39
India,S. Asia,LMIC,18918140.533282697,550174.2666066446,14964740.051700734,2535491.4873683867,16094821.796992082,0.15753461078035905,705.75
Mexico,L. Amer. & the Caribbean,UMIC,7820645.507533701,326048.4723917902,8868518.449056692,689682.0621114118,8977212.577058932,0.07682585838213067,464.38
Russian Federation,Eur. & Cent. Asia,UMIC,6674496.0,263837.61600000004,7176383.155200001,553052.5178590692,7233594.03971507,0.07645611777805184,436.33
Indonesia,E. Asia & Pacific,UMIC,7487320.745860973,220895.6329041873,6008361.214993895,960912.5698775493,6413048.213982178,0.14983710363856306,675.81
Türkiye,Eur. & Cent. Asia,UMIC,5898314.005612332,176949.42016836995,4813024.228579663,546535.319274341,4921379.698691069,0.11105327219919692,487.93
Saudi Arabia,Mid. East & N. Africa,HIC,3333022.290604116,161287.3521630879,4387015.978835991,443098.3172944809,4582507.4031837825,0.0966934209395123,700.05
Australia,E. Asia & Pacific,HIC,2412589.9642466656,139702.57385551007,3799910.008869874,264751.8313192633,3885432.9443352167,0.06813959605331997,577.86
"Iran, Islamic Rep.",Mid. East & N. Africa,LMIC,5192407.120978895,130429.02336806234,3547669.4356112955,646231.49016977,3808162.1931706644,0.16969641979238273,655.37
Iraq,Mid. East & N. Africa,UMIC,4981548.286056943,129449.09622304319,3521015.417266775,651528.7069786683,3802469.8836225593,0.17134355482599278,688.71
Argentina,L. Amer. & the Caribbean,UMIC,3018593.8000000003,138946.95851333332,3779357.271562666,225106.13964806305,3780215.096402529,0.05954850025922785,392.69
Colombia,L. Amer. & the Caribbean,UMIC,2949909.9797519986,131021.2842191779,3563778.930761639,113244.03399736702,3457877.10227321,0.03274958324080412,202.15
Thailand,E. Asia & Pacific,UMIC,4496685.915490157,116234.80774393881,3161586.7706351355,478451.8608107861,3305984.331470073,0.14472296685024902,560.29
"Egypt, Arab Rep.",Mid. East & N. Africa,LMIC,4861018.683708004,109901.2919794853,2989315.1418419997,526217.6907489377,3154412.615596954,0.16681954927109435,570.04
Spain,Eur. & Cent. Asia,HIC,2768343.553267571,106778.96562603489,2904387.865028149,114149.1390901527,2812879.5298896073,0.04058088442011327,217.13
Viet Nam,E. Asia & Pacific,LMIC,3349363.130881186,102798.79228690697,2796127.1502038697,264223.8430733689,2811530.155647206,0.09397866231050449,415.41
Malaysia,E. Asia & Pacific,UMIC,2943145.7706939145,97086.57422269929,2640754.8188574207,337606.10721998016,2759717.5699183205,0.12233357170312624,604.04
Philippines,E. Asia & Pacific,LMIC,3649184.2689370685,93046.90048935736,2530875.69331052,417534.99026546185,2677316.433420916,0.15595279850128152,602.51
Chile,L. Amer. & the Caribbean,HIC,1948676.2875994195,91783.75812366589,2496518.2209637123,137958.48829020315,2489711.4965244425,0.0554114356152465,372.8
Algeria,Mid. East & N. Africa,LMIC,2818558.110559648,75978.52298030355,2066615.8250642563,339163.61457402277,2196391.5761629133,0.15441855553213338,633.65
Canada,N. Amer.,HIC,2395068.2428904176,74703.26181105523,2031928.7212607022,73045.96921796729,1927047.4657825832,0.03790564089105245,160.6
Bangladesh,S. Asia,LMIC,2240429.048650198,64831.55048531499,1763418.1732005677,287818.6812138868,1884797.6208192802,0.1527053504496564,676.48
Ukraine,Eur. & Cent. Asia,LMIC,1817622.6188164402,70905.60081684186,1928632.3422180987,86455.4263730524,1880058.4018618965,0.045985500390536886,250.47
Peru,L. Amer. & the Caribbean,UMIC,2199871.565079073,68517.74115390179,1863682.5593861288,120236.41766045375,1820492.7183484235,0.06604608546280477,287.81
Morocco,Mid. East & N. Africa,LMIC,1934416.2787853302,61842.38331960066,1682112.8262931379,243422.32674384952,1781829.302102304,0.13661371852884333,662.64
Myanmar,E. Asia & Pacific,LMIC,1669725.305397355,57897.75372453662,1574818.901307396,178795.60573205716,1629572.2838267891,0.10971934630121737,563.87
France,Eur. & Cent. Asia,HIC,944255.8300623425,48133.1134610945,1309220.6861417703,14085.383858791462,1253158.2486410604,0.01123990834682357,78.55
"Venezuela, RB",L. Amer. & the Caribbean,UMC (2019),1656380.1918718016,46065.589516146676,1252984.0348391896,56754.66964117928,1186687.8764064047,0.04782611398461993,180.43
