country,region,income_2022,compost_screen_diverted_ofmsw_tpy,compost_screen_avoided_ch4_tpy,compost_screen_avoided_landfill_gwp100_tco2e,compost_screen_process_tco2e,compost_screen_net_gwp100_benefit_tco2e
China,E. Asia & Pacific,UMIC,22365388.09724729,1107539.7410630456,30125080.95691484,760982.330008839,29364098.626906
United States,N. Amer.,HIC,18178759.03893216,1017722.8106860141,27682060.450659584,618532.2762996666,27063528.174359918
Brazil,L. Amer. & the Caribbean,UMIC,14582067.364453563,623564.0318546997,16960941.666447833,496154.8420755325,16464786.8243723
India,S. Asia,LMIC,18918140.533282697,550174.2666066446,14964740.051700734,643689.7316449437,14321050.32005579
Mexico,L. Amer. & the Caribbean,UMIC,7820645.507533701,326048.4723917902,8868518.449056692,266097.4633938342,8602420.985662859
Russian Federation,Eur. & Cent. Asia,UMIC,6674496.0,263837.61600000004,7176383.155200001,227099.72639999999,6949283.428800001
Indonesia,E. Asia & Pacific,UMIC,7487320.745860973,220895.6329041873,6008361.214993895,254756.0883779196,5753605.126615975
Türkiye,Eur. & Cent. Asia,UMIC,5898314.005612332,176949.42016836995,4813024.228579663,200690.1340409596,4612334.094538704
Saudi Arabia,Mid. East & N. Africa,HIC,3333022.290604116,161287.3521630879,4387015.978835991,113406.08343780503,4273609.895398186
Australia,E. Asia & Pacific,HIC,2412589.9642466656,139702.57385551007,3799910.008869874,82088.37353349279,3717821.635336381
Argentina,L. Amer. & the Caribbean,UMIC,3018593.8000000003,138946.95851333332,3779357.271562666,102707.654045,3676649.617517666
Colombia,L. Amer. & the Caribbean,UMIC,2949909.9797519986,131021.2842191779,3563778.930761639,100370.68706106173,3463408.2437005774
"Iran, Islamic Rep.",Mid. East & N. Africa,LMIC,5192407.120978895,130429.02336806234,3547669.4356112955,176671.65229130688,3370997.7833199888
Iraq,Mid. East & N. Africa,UMIC,4981548.286056943,129449.09622304319,3521015.417266775,169497.1804330875,3351518.2368336874
Thailand,E. Asia & Pacific,UMIC,4496685.915490157,116234.80774393881,3161586.7706351355,152999.7382745526,3008587.032360583
"Egypt, Arab Rep.",Mid. East & N. Africa,LMIC,4861018.683708004,109901.2919794853,2989315.1418419997,165396.1607131648,2823918.981128835
Spain,Eur. & Cent. Asia,HIC,2768343.553267571,106778.96562603489,2904387.865028149,94192.8893999291,2810194.97562822
Viet Nam,E. Asia & Pacific,LMIC,3349363.130881186,102798.79228690697,2796127.1502038697,113962.08052823236,2682165.0696756374
Malaysia,E. Asia & Pacific,UMIC,2943145.7706939145,97086.57422269929,2640754.8188574207,100140.53484786044,2540614.2840095605
Chile,L. Amer. & the Caribbean,HIC,1948676.2875994195,91783.75812366589,2496518.2209637123,66303.71068557024,2430214.510278142
Philippines,E. Asia & Pacific,LMIC,3649184.2689370685,93046.90048935736,2530875.69331052,124163.49475058375,2406712.1985599366
Algeria,Mid. East & N. Africa,LMIC,2818558.110559648,75978.52298030355,2066615.8250642563,95901.43971179202,1970714.3853524644
Canada,N. Amer.,HIC,2395068.2428904176,74703.26181105523,2031928.7212607022,81492.19696434645,1950436.524296356
Ukraine,Eur. & Cent. Asia,LMIC,1817622.6188164402,70905.60081684186,1928632.3422180987,61844.60960522938,1866787.7326128692
Peru,L. Amer. & the Caribbean,UMIC,2199871.565079073,68517.74115390179,1863682.5593861288,74850.63000181546,1788831.9293843133
Bangladesh,S. Asia,LMIC,2240429.048650198,64831.55048531499,1763418.1732005677,76230.59838032299,1687187.5748202447
Morocco,Mid. East & N. Africa,LMIC,1934416.2787853302,61842.38331960066,1682112.8262931379,65818.51388567085,1616294.312407467
Myanmar,E. Asia & Pacific,LMIC,1669725.305397355,57897.75372453662,1574818.901307396,56812.403516145,1518006.497791251
France,Eur. & Cent. Asia,HIC,944255.8300623425,48133.1134610945,1309220.6861417703,32128.304617871203,1277092.381523899
"Venezuela, RB",L. Amer. & the Caribbean,UMC (2019),1656380.1918718016,46065.589516146676,1252984.0348391896,56358.33602843805,1196625.6988107515
