country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,first_pass_ch4_total_tpy,first_pass_co2e_gwp100_tpy,first_pass_co2e_gwp20_tpy,first_pass_ch4_kg_per_cap_year
China,E. Asia & Pacific,UMIC,298046216.64775175,55913470.24311823,2768849.352657614,75312702.39228709,223723027.6947352,1.9606984634748623
United States,N. Amer.,HIC,92559872.90698656,45446897.5973304,2544307.026715035,69205151.12664895,205580007.7585748,7.617290681506409
Brazil,L. Amer. & the Caribbean,UMIC,37060612.217999995,36455168.41113391,1558910.079636749,42402354.166119576,125959934.43464932,7.412565516067349
India,S. Asia,LMIC,94401898.86867614,47295351.33320674,1375435.6665166114,37411850.12925183,111135201.8545422,0.9649314357570679
Mexico,L. Amer. & the Caribbean,UMIC,21421730.874147315,19551613.768834252,815121.1809794754,22171296.12264173,65861791.423141606,6.337776425863899
Russian Federation,Eur. & Cent. Asia,UMIC,18346960.000000004,16686239.999999998,659594.04,17940957.888,53295198.432000004,4.572989915141915
Indonesia,E. Asia & Pacific,UMIC,21263286.339401923,18718301.864652433,552239.0822604683,15020903.037484737,44620917.84664583,1.980554583606834
Türkiye,Eur. & Cent. Asia,UMIC,16819598.6378,14745785.01403083,442373.5504209248,12032560.571449153,35743782.87401072,5.2056248918603245
Saudi Arabia,Mid. East & N. Africa,HIC,8677370.581836307,8332555.726510289,403218.38040771964,10967539.947089974,32580045.136943746,12.531952548573388
Australia,E. Asia & Pacific,HIC,10426256.10884469,6031474.910616664,349256.4346387752,9499775.022174684,28219919.918813035,13.423274519864952
Argentina,L. Amer. & the Caribbean,UMIC,7546484.5,7546484.5,347367.39628333325,9448393.178906664,28067285.619693324,7.649932405673982
Colombia,L. Amer. & the Caribbean,UMIC,8876117.097379997,7374774.949379996,327553.21054794476,8909447.326904098,26466299.412273936,6.331005548808526
"Iran, Islamic Rep.",Mid. East & N. Africa,LMIC,14734412.942618882,12981017.802447235,326072.55842015584,8869173.58902824,26346662.72034859,3.6422820966306246
Iraq,Mid. East & N. Africa,UMIC,12461687.004741486,12453870.715142358,323622.74055760796,8802538.543166935,26148717.437054724,7.343287824053027
Thailand,E. Asia & Pacific,UMIC,17370307.23023531,11241714.788725393,290587.01935984707,7903966.92658784,23479431.164275642,4.050821588339646
"Egypt, Arab Rep.",Mid. East & N. Africa,LMIC,15096331.315863367,12152546.70927001,274753.22994871327,7473287.8546050005,22200060.979856033,2.439686551235819
Spain,Eur. & Cent. Asia,HIC,13999408.33484953,6920858.883168927,266947.4140650872,7260969.662570372,21569351.056459047,5.5862981681386605
Viet Nam,E. Asia & Pacific,LMIC,11589491.802357044,8373407.827202965,256996.98071726743,6990317.875509674,20765356.041955207,2.578203170086186
Malaysia,E. Asia & Pacific,UMIC,7380789.894609797,7357864.426734786,242716.4355567482,6601887.0471435515,19611487.992985256,6.995618582412079
Philippines,E. Asia & Pacific,LMIC,9122960.672342671,9122960.672342671,232617.2512233934,6327189.2332763,18795473.898850184,2.041140722665308
Chile,L. Amer. & the Caribbean,HIC,5003035.722279791,4871690.718998549,229459.3953091647,6241295.55240928,18540319.14098051,11.735231056147224
Algeria,Mid. East & N. Africa,LMIC,7659125.300433826,7046395.276399119,189946.30745075885,5166539.56266064,15347661.642021313,4.176719720007647
Canada,N. Amer.,HIC,9573913.640211128,5987670.607226044,186758.15452763805,5079821.803151755,15090058.885833154,4.796550007703374
Ukraine,Eur. & Cent. Asia,LMIC,4911021.645978112,4544056.5470411,177264.00204210466,4821580.855545247,14322931.365002057,4.318375905431717
Peru,L. Amer. & the Caribbean,UMIC,5597637.570175758,5499678.912697682,171294.35288475448,4659206.398465321,13840583.713088162,5.117016030821
Bangladesh,S. Asia,LMIC,7430088.360427992,5601072.621625495,162078.87621328747,4408545.433001419,13095973.198033627,0.9568673422712975
Morocco,Mid. East & N. Africa,LMIC,5262285.850885011,4836040.696963325,154605.95829900165,4205282.065732845,12492161.430559333,4.14170465937752
Myanmar,E. Asia & Pacific,LMIC,4690239.621902682,4174313.263493387,144744.38431134154,3937047.2532684896,11695346.252356395,2.6925787865882223
France,Eur. & Cent. Asia,HIC,9266871.022858456,2360639.575155856,120332.78365273625,3273051.715354426,9722888.91914109,1.7648125239559544
"Venezuela, RB",L. Amer. & the Caribbean,UMC (2019),4140950.479679504,4140950.479679504,115163.97379036667,3132460.087097973,9305249.082261626,4.081944649534173
