iso3,country,region,income_2022,bio_cng_screen_biomethane_m3,bio_cng_screen_avoided_landfill_gwp100_tco2e,bio_cng_screen_avoided_diesel_tco2e,bio_cng_screen_upgrading_electricity_tco2e,bio_cng_screen_process_tco2e,bio_cng_screen_net_gwp100_benefit_tco2e,ad_screen_net_gwp100_benefit_tco2e,compost_screen_net_gwp100_benefit_tco2e,prevention_screen_net_gwp100_benefit_tco2e,best_four_pathway_screen,scenario,diesel_substitution_multiplier,upgrading_electricity_multiplier,process_emissions_multiplier,methane_slip_pct_of_biomethane,bio_cng_stress_avoided_diesel_tco2e,bio_cng_stress_upgrading_electricity_tco2e,bio_cng_stress_process_tco2e,bio_cng_stress_methane_slip_tco2e,bio_cng_stress_net_gwp100_benefit_tco2e,best_pathway_under_bio_cng_stress,bio_cng_remains_best
CHN,China,E. Asia & Pacific,UMIC,1377413846.6677306,30125080.95691484,3649044.7625921513,590530.1159726931,1661502.316356404,31522093.287177887,30955660.820218276,29364098.626906,31836581.55139289,Prevention,high_stress,0.6,1.5,1.25,0.03,2189426.8575552907,885795.1739590396,2076877.895445505,805661.4801578063,28546173.264907777,Prevention,False
USA,United States,N. Amer.,HIC,1119572542.4743772,27682060.450659584,2965971.57952312,335717.14148943155,1350481.8302432313,28961833.058450043,27748330.591370605,27063528.17435992,17610152.798155032,AD-bio-CNG,high_stress,0.6,1.5,1.25,0.03,1779582.947713872,503575.71223414736,1688102.2878040392,654847.8323316369,26615117.566003636,AD-electricity,False
BRA,Brazil,L. Amer. & the Caribbean,UMIC,898063624.6286317,16960941.666447833,2379150.154366171,67843.79751648843,1083287.2024378907,18188960.820859622,16163960.469780372,16464786.8243723,19417021.35656409,Prevention,high_stress,0.6,1.5,1.25,0.03,1427490.0926197025,101765.69627473265,1354109.0030473634,525285.3170051833,16407271.742740259,Prevention,False
IND,India,S. Asia,LMIC,1165108721.1384826,14964740.051700734,3086606.0240400676,600816.4956613919,1405409.7420770384,16045119.838002369,16094821.796992082,14321050.32005579,21670975.425812382,Prevention,high_stress,0.6,1.5,1.25,0.03,1851963.6144240405,901224.7434920878,1756762.177596298,681482.3439506445,13477234.401085746,Prevention,False
MEX,Mexico,L. Amer. & the Caribbean,UMIC,481648937.41694295,8868518.449056692,1275984.365004965,163428.81123548248,580987.9341091712,9400086.068717005,8977212.577058932,8602420.985662859,7757060.185738035,AD-bio-CNG,high_stress,0.6,1.5,1.25,0.03,765590.619002979,245143.21685322374,726234.9176364639,281720.7020058192,8381010.231564165,AD-electricity,False
RUS,Russian Federation,Eur. & Cent. Asia,UMIC,411061197.326592,7176383.155200001,1088983.3239576076,131052.7277856,495841.633344,7638472.118028007,7233594.03971507,6949283.428800001,7304954.040960001,AD-bio-CNG,high_stress,0.6,1.5,1.25,0.03,653389.9943745645,196579.0916784,619802.04168,240433.3116548601,6772958.704561306,Prevention,False
IDN,Indonesia,E. Asia & Pacific,UMIC,461120514.6518694,6008361.214993895,1221600.4674157323,227700.2804967137,556225.5708892659,6446035.831023647,6413048.213982178,5753605.126615975,8619671.166892678,Prevention,high_stress,0.6,1.5,1.25,0.03,732960.2804494394,341550.42074507056,695281.9636115823,269713.4468804074,5434775.664206274,Prevention,False
TUR,Türkiye,Eur. & Cent. Asia,UMIC,363258591.7131739,4813024.228579663,962344.66116654,129508.39587412914,438179.8491629345,5207680.64470914,4921379.698691069,4612334.094538704,6830247.618499081,Prevention,high_stress,0.6,1.5,1.25,0.03,577406.7966999239,194262.5938111937,547724.8114536682,212473.14696864248,4435970.473046083,Prevention,False
SAU,Saudi Arabia,Mid. East & N. Africa,HIC,205270350.5241367,4387015.978835991,543802.2126085429,104997.70145418352,247606.89294668916,4578213.597043661,4582507.4031837825,4273609.895398186,4693274.707371081,Prevention,high_stress,0.6,1.5,1.25,0.03,326281.3275651257,157496.55218127527,309508.61618336145,120064.43440065217,4126227.703635828,Prevention,False
AUS,Australia,E. Asia & Pacific,HIC,148583821.06474468,3799910.008869874,393628.2587647215,62736.26565328102,179228.89585392055,3951573.106127394,3885432.9443352167,3717821.635336381,1949887.0826570047,AD-bio-CNG,high_stress,0.6,1.5,1.25,0.03,236176.9552588329,94104.39847992154,224036.1198174007,86907.98447839453,3631038.4613529895,AD-electricity,False
