country,region,income_2022,ad_screen_net_gwp100_benefit_tco2e,compost_screen_net_gwp100_benefit_tco2e,prevention_screen_net_gwp100_benefit_tco2e,best_three_pathway_screen,best_three_pathway_benefit_tco2e
China,E. Asia & Pacific,UMIC,33599795.13671648,28806641.32858211,31836581.55139289,AD,33599795.13671648
United States,N. Amer.,HIC,29335336.799632207,26610422.605314534,17610152.798155032,AD,29335336.799632207
India,S. Asia,LMIC,18726160.898855116,13849515.667263718,21670975.425812382,Prevention,21670975.425812382
Brazil,L. Amer. & the Caribbean,UMIC,16651996.318660218,16101328.795313297,19417021.35656409,Prevention,19417021.35656409
Mexico,L. Amer. & the Caribbean,UMIC,9733993.479421817,8407491.39638758,7757060.185738035,AD,9733993.479421817
Indonesia,E. Asia & Pacific,UMIC,7415157.758660124,5566983.65702539,8619671.166892678,Prevention,8619671.166892678
Russian Federation,Eur. & Cent. Asia,UMIC,7846636.851280214,6782921.616,7304954.040960001,AD,7846636.851280214
Türkiye,Eur. & Cent. Asia,UMIC,5516498.97959215,4465318.617948815,6830247.618499081,Prevention,6830247.618499081
"Iran, Islamic Rep.",Mid. East & N. Africa,LMIC,4484508.329719093,3241577.0358295897,5668140.058539819,Prevention,5668140.058539819
Iraq,Mid. East & N. Africa,UMIC,4480472.857686544,3227353.145803718,5422690.600476332,Prevention,5422690.600476332
"Egypt, Arab Rep.",Mid. East & N. Africa,LMIC,3714860.4797194623,2702758.0904374127,5140421.583702003,Prevention,5140421.583702003
Saudi Arabia,Mid. East & N. Africa,HIC,5042768.805405772,4190534.314804878,4693274.707371081,AD,5042768.805405772
Thailand,E. Asia & Pacific,UMIC,3816738.971516898,2896507.1359169907,4877103.086213104,Prevention,4877103.086213104
Australia,E. Asia & Pacific,HIC,4166899.067111667,3657687.830477533,1949887.0826570047,AD,4166899.067111667
Argentina,L. Amer. & the Caribbean,UMIC,4034369.74253424,3601411.167052666,3698971.988363074,AD,4034369.74253424
Philippines,E. Asia & Pacific,LMIC,3118823.468791469,2315756.28065668,4002326.0483580623,Prevention,4002326.0483580623
Colombia,L. Amer. & the Caribbean,UMIC,3607689.9932315857,3389881.7374552586,3994321.9501948184,Prevention,3994321.9501948184
Viet Nam,E. Asia & Pacific,LMIC,3106877.9224806735,2598682.193638424,3910085.923262824,Prevention,3910085.923262824
Malaysia,E. Asia & Pacific,UMIC,3116592.104519937,2467256.375675014,3174963.063704232,Prevention,3174963.063704232
Algeria,Mid. East & N. Africa,LMIC,2552793.189778381,1900461.824446765,3147226.495451864,Prevention,3147226.495451864
Spain,Eur. & Cent. Asia,HIC,2960743.104960896,2741194.0125630256,504064.5139235362,AD,2960743.104960896
Chile,L. Amer. & the Caribbean,HIC,2646986.630104001,2381643.7538097263,2709766.326181421,Prevention,2709766.326181421
Canada,N. Amer.,HIC,2031232.6344754256,1890739.448342312,2477478.741389202,Prevention,2477478.741389202
Ukraine,Eur. & Cent. Asia,LMIC,1987767.795005065,1821483.4888388696,2327533.13522138,Prevention,2327533.13522138
Morocco,Mid. East & N. Africa,LMIC,2036266.056066088,1568078.986658743,2291868.6222355664,Prevention,2291868.6222355664
Bangladesh,S. Asia,LMIC,2184921.8130252413,1631344.8807826384,2100472.5002956856,AD,2184921.8130252413
Tanzania,Sub-Saharan Africa,LMIC,1295816.7496649546,1025977.8346377866,2161734.5572617617,Prevention,2161734.5572617617
Peru,L. Amer. & the Caribbean,UMIC,1965257.208697601,1734000.130624717,2123553.9963977984,Prevention,2123553.9963977984
"Venezuela, RB",L. Amer. & the Caribbean,UMC (2019),1264499.688278226,1155340.422528347,1868777.161323446,Prevention,1868777.161323446
Myanmar,E. Asia & Pacific,LMIC,1820275.6643655696,1476388.5945542215,513452.31563722255,AD,1820275.6643655696
Guatemala,L. Amer. & the Caribbean,UMIC,1180372.8094748172,1074970.6814669133,1712701.6450317488,Prevention,1712701.6450317488
"Yemen, Rep.",Mid. East & N. Africa,LIC,1118857.202003124,799089.9109652019,1567732.5351432888,Prevention,1567732.5351432888
Ethiopia,Sub-Saharan Africa,LIC,773051.3018721438,761832.3500018027,1397566.808790034,Prevention,1397566.808790034
Uzbekistan,Eur. & Cent. Asia,LMIC,1280955.171062777,846876.6130959927,853349.5814355115,AD,1280955.171062777
France,Eur. & Cent. Asia,HIC,1280647.9706654612,1253556.8049595952,1163179.782355882,AD,1280647.9706654612
Libya,Mid. East & N. Africa,UMIC,1015468.7371744242,664685.3884260124,1233693.8244010091,Prevention,1233693.8244010091
Sudan,Sub-Saharan Africa,LIC,720207.581363794,635921.3567212921,1197924.516656559,Prevention,1197924.516656559
Cuba,L. Amer. & the Caribbean,UMIC,839181.5328740433,566200.7266279059,1192984.5224486543,Prevention,1192984.5224486543
Romania,Eur. & Cent. Asia,HIC,889940.2903886372,778148.3247724824,1190272.4523961886,Prevention,1190272.4523961886
Italy,Eur. & Cent. Asia,HIC,1096645.633203582,973477.3884530136,1182405.341357395,Prevention,1182405.341357395
